Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,157.0,157.0,153.73,155.09,155.09,74485391
2019-01-03,154.91,160.49,154.91,159.36,159.36,66166797
2019-01-04,159.81,159.81,154.06,159.07,159.07,79252888
2019-01-07,158.94,158.94,155.19,155.89,155.89,40539929
2019-01-08,156.0,159.64,153.96,156.38,156.38,105535093
2019-01-09,156.0,160.72,156.0,157.42,157.42,112873023
2019-01-10,157.5,161.29,157.5,160.38,160.38,47680181
2019-01-11,160.25,161.01,160.25,160.77,160.77,68792583
2019-01-14,160.52,163.46,160.52,163.42,163.42,82313838
2019-01-15,164.34,169.39,164.34,169.28,169.28,51181711
2019-01-16,169.16,171.7,168.99,170.44,170.44,77190274
2019-01-17,170.36,170.36,168.55,169.21,169.21,67960740
2019-01-18,169.52,169.76,163.83,167.15,167.15,35391110
2019-01-21,166.9,166.9,160.67,162.71,162.71,76500131
2019-01-22,162.84,162.84,156.01,158.34,158.34,40999954
2019-01-23,158.5,159.21,157.55,157.81,157.81,92694494
2019-01-24,157.89,158.12,156.15,157.2,157.2,48673926
2019-01-25,157.92,162.76,157.92,160.97,160.97,59686971
2019-01-28,160.71,164.52,160.71,163.41,163.41,110226738
2019-01-29,163.92,163.92,158.68,160.1,160.1,77647596
2019-01-30,160.25,166.41,160.25,164.83,164.83,41340322
2019-01-31,165.13,165.13,161.48,162.81,162.81,42421754
2019-02-01,162.92,162.92,159.59,160.9,160.9,50094279
2019-02-04,161.51,161.51,155.82,156.43,156.43,74551157
2019-02-05,156.33,156.33,152.11,153.6,153.6,73475194
2019-02-06,153.75,153.75,151.1,152.35,152.35,45439738
2019-02-07,152.75,152.75,146.94,146.96,146.96,39914678
2019-02-08,146.8,147.25,146.44,146.82,146.82,71254736
2019-02-11,147.11,149.03,147.05,147.88,147.88,59197772
2019-02-12,147.87,148.02,146.9,147.45,147.45,150884446
2019-02-13,147.09,150.76,147.09,148.61,148.61,64603552
2019-02-14,148.17,149.22,147.13,148.34,148.34,131542378
2019-02-15,148.31,151.77,144.42,146.37,146.37,39864033
2019-02-18,146.66,146.66,143.69,144.93,144.93,33931465
2019-02-19,144.32,146.82,144.32,146.65,146.65,40674195
2019-02-20,146.71,147.21,144.49,144.62,144.62,102440264
2019-02-21,144.88,149.51,144.88,147.43,147.43,128517948
2019-02-22,147.05,147.9,146.1,146.14,146.14,46560668
2019-02-25,145.95,145.95,141.17,143.28,143.28,52952830
2019-02-26,143.44,143.92,142.41,143.84,143.84,39886406
2019-02-27,144.08,145.76,141.99,144.22,144.22,30844917
2019-02-28,144.69,146.16,144.69,145.91,145.91,84859132
2019-03-01,145.73,145.73,144.74,145.53,145.53,69604975
2019-03-04,145.29,145.29,142.31,142.43,142.43,63932198
2019-03-05,142.91,146.89,142.91,144.82,144.82,36364947
2019-03-06,144.6,144.6,136.74,141.35,141.35,122683836
2019-03-07,141.49,143.38,141.49,142.99,142.99,52054187
2019-03-08,143.62,144.5,141.03,142.18,142.18,78813043
2019-03-11,142.39,143.79,142.17,142.51,142.51,35580700
2019-03-12,142.73,142.73,140.37,141.34,141.34,58992944
2019-03-13,141.71,144.6,141.71,144.36,144.36,71534347
2019-03-14,144.51,147.09,144.51,145.8,145.8,72563208
2019-03-15,146.03,146.03,138.84,140.61,140.61,67727164
2019-03-18,140.51,141.3,140.51,140.99,140.99,77589874
2019-03-19,141.32,146.64,141.32,145.34,145.34,40504770
2019-03-20,145.46,145.46,142.91,143.97,143.97,68894543
2019-03-21,143.54,143.54,137.76,141.0,141.0,66628406
2019-03-22,141.06,146.99,141.06,144.61,144.61,69846292
2019-03-25,143.98,148.02,143.98,145.22,145.22,65533798
2019-03-26,145.43,147.94,145.43,147.05,147.05,38257622
2019-03-27,146.98,147.6,145.08,147.14,147.14,37581354
2019-03-28,147.7,148.76,147.7,147.88,147.88,26256685
2019-03-29,148.02,148.02,143.06,144.52,144.52,88291314
2019-04-01,144.78,144.78,141.89,143.61,143.61,88649548
2019-04-02,143.31,143.31,137.5,140.01,140.01,89214898
2019-04-03,140.2,142.25,139.62,140.54,140.54,71976805
2019-04-04,140.36,141.6,136.44,139.63,139.63,27122950
2019-04-05,139.93,141.33,139.03,140.19,140.19,42222098
2019-04-08,139.88,142.79,138.98,140.69,140.69,68155652
2019-04-09,140.72,141.42,139.34,140.74,140.74,67210879
2019-04-10,140.41,140.41,137.57,138.95,138.95,58237451
2019-04-11,138.99,147.37,138.99,145.85,145.85,73787904
2019-04-12,146.44,146.44,141.96,145.12,145.12,63961965
2019-04-15,145.33,147.87,143.88,144.47,144.47,66815568
2019-04-16,144.46,144.96,143.08,143.58,143.58,49303831
2019-04-17,142.87,144.97,142.87,143.34,143.34,94295392
2019-04-18,143.19,145.51,142.65,144.37,144.37,53587685
2019-04-19,144.5,149.97,144.5,147.96,147.96,37388691
2019-04-22,147.81,147.81,145.26,146.25,146.25,46769361
2019-04-23,146.66,146.66,142.51,144.05,144.05,55381270
2019-04-24,144.07,146.28,141.33,145.37,145.37,94748787
2019-04-25,145.69,147.01,145.69,146.22,146.22,62597211
2019-04-26,146.28,148.08,146.28,147.55,147.55,59096319
2019-04-29,147.47,147.5,145.41,145.89,145.89,38635153
2019-04-30,145.76,151.25,145.76,150.88,150.88,87166577
2019-05-01,150.57,151.08,146.29,147.99,147.99,49050337
2019-05-02,148.32,149.2,144.68,148.13,148.13,61167548
2019-05-03,148.01,152.65,148.01,151.19,151.19,115088473
2019-05-06,151.34,154.88,147.97,150.31,150.31,78033113
2019-05-07,150.15,155.96,150.15,154.43,154.43,33192578
2019-05-08,154.09,154.09,151.41,151.62,151.62,31369115
2019-05-09,151.79,154.09,148.88,150.83,150.83,62047719
2019-05-10,150.6,155.64,149.37,150.74,150.74,39194314
2019-05-13,150.62,150.62,145.14,146.74,146.74,82520490
2019-05-14,146.37,146.37,145.14,145.18,145.18,64749965
2019-05-15,145.04,147.48,145.04,146.73,146.73,68018643
2019-05-16,146.73,149.25,146.73,147.94,147.94,47987025
2019-05-17,147.86,147.86,144.39,144.42,144.42,127763563
2019-05-20,144.65,150.45,144.65,149.53,149.53,198475452
2019-05-21,149.57,155.5,149.57,152.84,152.84,56951159
2019-05-22,153.79,153.79,152.32,152.38,152.38,73320748
2019-05-23,152.51,157.01,152.51,155.81,155.81,66194334
2019-05-24,155.27,160.93,155.27,158.89,158.89,57383292
2019-05-27,158.82,158.82,152.28,152.66,152.66,45640694
2019-05-28,152.62,155.42,152.62,154.73,154.73,41249572
2019-05-29,154.54,154.54,149.41,150.24,150.24,40422599
2019-05-30,150.26,155.28,150.26,152.74,152.74,74867804
2019-05-31,152.54,158.09,152.54,156.11,156.11,51715531
2019-06-03,156.22,158.12,155.49,157.49,157.49,22698771
2019-06-04,156.89,158.7,155.05,157.04,157.04,76063705
2019-06-05,157.39,157.39,153.47,154.37,154.37,62697615
2019-06-06,153.89,155.85,152.16,154.1,154.1,109103517
2019-06-07,154.02,159.31,154.02,158.83,158.83,73912125
2019-06-10,158.6,161.96,155.38,161.21,161.21,35239178
2019-06-11,161.31,162.78,161.31,162.48,162.48,26095353
2019-06-12,162.42,164.73,162.42,162.59,162.59,47743311
2019-06-13,162.67,167.62,162.67,164.57,164.57,49579873
2019-06-14,164.94,164.94,162.01,163.27,163.27,92841302
2019-06-17,163.52,165.74,160.35,165.39,165.39,63439047
2019-06-18,165.4,165.4,163.07,164.32,164.32,100193501
2019-06-19,164.47,166.99,161.84,163.21,163.21,37475774
2019-06-20,163.85,163.85,159.71,161.01,161.01,93665852
2019-06-21,161.26,161.26,154.99,156.9,156.9,84946665
2019-06-24,156.8,158.39,156.8,158.0,158.0,28398442
2019-06-25,158.4,158.4,155.23,156.9,156.9,108058751
2019-06-26,157.02,158.26,156.81,157.37,157.37,66089595
2019-06-27,157.07,159.92,157.07,159.31,159.31,74473677
2019-06-28,159.25,159.7,154.74,157.52,157.52,45045337
2019-07-01,157.06,158.79,156.87,157.9,157.9,106030494
2019-07-02,157.18,157.53,156.68,156.93,156.93,39618136
2019-07-03,156.64,159.61,154.47,157.58,157.58,88806934
2019-07-04,157.62,158.74,157.62,158.62,158.62,88399907
2019-07-05,158.66,159.56,155.69,155.98,155.98,43118880
2019-07-08,155.54,158.92,155.54,158.52,158.52,140748889
2019-07-09,157.77,164.66,157.67,160.7,160.7,69842263
2019-07-10,161.18,164.89,161.18,164.4,164.4,82697136
2019-07-11,164.43,164.81,163.06,164.1,164.1,34562857
2019-07-12,164.61,166.38,162.71,163.46,163.46,148520045
2019-07-15,163.95,168.19,163.95,167.63,167.63,39009498
2019-07-16,167.87,169.2,163.04,165.23,165.23,95926522
2019-07-17,165.25,170.05,165.25,167.12,167.12,42764967
2019-07-18,166.99,169.75,165.76,167.18,167.18,49701365
2019-07-19,167.42,168.43,166.89,167.1,167.1,87280716
2019-07-22,167.04,167.04,163.75,166.29,166.29,96028883
2019-07-23,166.09,168.88,166.09,168.54,168.54,38287146
2019-07-24,167.83,174.04,167.83,174.0,174.0,98476387
2019-07-25,173.98,173.98,169.67,171.02,171.02,96700650
