Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,72.0,72.55,71.69,71.88,71.88,92720364
2019-01-03,71.82,71.83,71.65,71.83,71.83,88563551
2019-01-04,71.72,72.73,71.72,72.63,72.63,98149593
2019-01-07,72.4,73.47,72.4,73.33,73.33,60193955
2019-01-08,73.14,73.14,71.7,72.44,72.44,88500589
2019-01-09,72.67,72.67,71.5,71.94,71.94,70665570
2019-01-10,71.94,72.67,71.11,72.16,72.16,41725024
2019-01-11,72.39,72.39,70.64,70.85,70.85,64071899
2019-01-14,70.85,72.07,70.77,71.72,71.72,141614803
2019-01-15,71.67,73.22,69.79,71.82,71.82,37170234
2019-01-16,71.9,73.09,71.9,72.68,72.68,80352149
2019-01-17,72.53,72.53,71.58,71.62,71.62,94709906
2019-01-18,71.61,71.61,70.53,71.19,71.19,55352322
2019-01-21,71.14,71.14,69.3,70.02,70.02,60771966
2019-01-22,70.33,70.33,68.39,68.63,68.63,34987665
2019-01-23,68.52,70.0,67.84,68.17,68.17,119031738
2019-01-24,68.16,68.22,68.02,68.12,68.12,78734416
2019-01-25,68.03,68.03,65.96,67.2,67.2,124319893
2019-01-28,67.22,68.68,67.22,68.2,68.2,71374088
2019-01-29,67.91,67.91,66.96,67.2,67.2,39118735
2019-01-30,67.26,67.76,66.97,67.43,67.43,87860214
2019-01-31,67.84,68.26,66.5,66.96,66.96,108235156
2019-02-01,67.13,67.66,67.13,67.59,67.59,63412523
2019-02-04,67.65,68.66,67.58,68.07,68.07,138599800
2019-02-05,68.02,68.02,65.66,66.29,66.29,66995636
2019-02-06,66.37,66.4,66.13,66.28,66.28,78294684
2019-02-07,66.46,67.56,66.03,66.44,66.44,116618108
2019-02-08,66.56,67.41,66.56,67.17,67.17,55226477
2019-02-11,67.13,67.54,67.1,67.12,67.12,71372704
2019-02-12,66.89,67.92,66.89,67.5,67.5,35117095
2019-02-13,67.26,67.33,66.8,67.17,67.17,75350674
2019-02-14,67.06,68.61,67.06,68.41,68.41,64704551
2019-02-15,68.26,70.42,68.26,68.81,68.81,66836158
2019-02-18,68.89,68.89,67.69,68.14,68.14,91219162
2019-02-19,68.1,69.05,67.55,68.4,68.4,46561762
2019-02-20,68.8,68.82,66.41,67.31,67.31,64589040
2019-02-21,67.21,67.21,66.0,66.53,66.53,101945235
2019-02-22,66.47,67.45,65.8,67.04,67.04,122891656
2019-02-25,67.14,67.14,65.48,65.94,65.94,58675468
2019-02-26,66.14,66.58,65.85,66.41,66.41,141479035
2019-02-27,66.46,66.46,64.83,65.42,65.42,136044549
2019-02-28,65.51,65.51,64.58,64.73,64.73,54423884
2019-03-01,64.79,64.86,64.24,64.31,64.31,73434067
2019-03-04,64.35,65.17,63.63,63.84,63.84,89083563
2019-03-05,63.93,63.93,63.09,63.57,63.57,46285369
2019-03-06,63.4,63.4,62.7,62.74,62.74,43963941
2019-03-07,62.77,62.77,62.21,62.23,62.23,77867851
2019-03-08,62.33,64.1,62.33,63.86,63.86,84263580
2019-03-11,63.63,64.77,63.63,64.59,64.59,64544756
2019-03-12,64.47,64.47,63.19,63.89,63.89,46212486
2019-03-13,63.97,64.42,63.96,64.28,64.28,91709717
2019-03-14,64.05,65.44,63.7,64.4,64.4,64184825
2019-03-15,64.26,64.71,64.26,64.64,64.64,72322578
2019-03-18,64.74,64.74,61.96,63.25,63.25,44915547
2019-03-19,63.4,65.71,63.4,64.75,64.75,82953195
2019-03-20,64.94,65.05,63.3,64.39,64.39,71834690
2019-03-21,64.44,64.44,64.08,64.23,64.23,58610491
2019-03-22,64.34,64.34,64.25,64.32,64.32,34021526
2019-03-25,64.32,65.49,64.32,65.4,65.4,137954343
2019-03-26,65.33,68.26,65.33,67.45,67.45,49520939
2019-03-27,67.77,67.77,65.57,66.26,66.26,159165851
2019-03-28,66.4,66.54,66.11,66.38,66.38,63289408
2019-03-29,66.15,66.94,65.58,65.8,65.8,100632816
2019-04-01,65.89,65.89,64.71,65.14,65.14,92953973
2019-04-02,65.2,65.2,64.68,64.84,64.84,43021914
2019-04-03,65.01,65.08,64.76,64.82,64.82,136432872
2019-04-04,64.51,65.11,64.51,64.6,64.6,64006479
2019-04-05,64.68,66.28,64.68,65.73,65.73,99256011
2019-04-08,65.62,66.81,65.62,66.31,66.31,28651700
2019-04-09,66.24,67.29,66.24,67.18,67.18,56760481
2019-04-10,67.42,67.51,66.51,66.95,66.95,65851412
2019-04-11,67.03,67.42,67.03,67.08,67.08,96308230
2019-04-12,67.33,67.33,67.13,67.26,67.26,68047125
2019-04-15,67.34,69.4,67.34,68.63,68.63,139804576
2019-04-16,68.79,68.79,66.52,66.83,66.83,34275655
2019-04-17,66.93,67.78,66.93,67.61,67.61,47334332
2019-04-18,67.52,68.51,67.52,67.66,67.66,50757170
2019-04-19,67.48,67.48,66.44,66.63,66.63,42992674
2019-04-22,66.6,67.35,66.6,67.11,67.11,62630462
2019-04-23,67.25,67.25,66.25,66.42,66.42,34181768
2019-04-24,66.52,66.52,65.7,65.71,65.71,40014846
2019-04-25,65.71,66.89,65.71,66.15,66.15,31370886
2019-04-26,65.92,66.8,64.94,66.04,66.04,93067216
2019-04-29,66.45,66.45,64.4,65.16,65.16,49458646
2019-04-30,65.14,65.14,64.56,64.99,64.99,63477184
2019-05-01,64.83,66.09,64.83,65.48,65.48,79649739
2019-05-02,65.45,67.12,65.45,66.95,66.95,59027417
2019-05-03,66.98,69.02,66.98,67.91,67.91,31227445
2019-05-06,67.99,67.99,67.33,67.4,67.4,91350671
2019-05-07,67.36,67.36,66.04,66.55,66.55,59706804
2019-05-08,66.54,67.18,66.38,66.97,66.97,145195138
2019-05-09,67.04,67.92,66.88,67.54,67.54,68601367
2019-05-10,67.59,68.12,67.46,67.75,67.75,73851893
2019-05-13,67.61,69.0,67.61,68.74,68.74,56371832
2019-05-14,68.64,68.64,67.74,68.32,68.32,72774853
2019-05-15,68.32,68.32,66.58,66.87,66.87,102120228
2019-05-16,66.56,67.37,66.56,67.36,67.36,126169901
2019-05-17,67.28,67.28,66.65,66.66,66.66,104249627
2019-05-20,66.73,66.73,65.47,66.0,66.0,26737259
2019-05-21,66.05,66.22,65.55,65.65,65.65,54499462
2019-05-22,65.6,65.6,63.06,64.12,64.12,45496488
2019-05-23,64.04,66.44,64.04,65.65,65.65,86440272
2019-05-24,65.47,65.65,64.87,65.36,65.36,46730300
2019-05-27,65.14,65.39,64.14,64.74,64.74,70758289
2019-05-28,64.54,64.54,62.96,63.16,63.16,45746821
2019-05-29,63.14,63.17,62.67,62.94,62.94,92662066
2019-05-30,62.69,65.68,62.69,64.78,64.78,88201345
2019-05-31,64.63,64.96,63.97,64.66,64.66,68271971
2019-06-03,64.51,65.19,64.13,64.93,64.93,96346277
2019-06-04,65.0,65.0,64.01,64.24,64.24,106635592
2019-06-05,64.13,65.31,64.13,64.77,64.77,70086949
2019-06-06,64.8,65.39,64.3,64.72,64.72,101867005
2019-06-07,64.73,65.75,64.73,65.58,65.58,123969490
2019-06-10,65.73,66.88,65.22,65.9,65.9,82220092
2019-06-11,66.07,66.81,65.51,65.82,65.82,64109322
2019-06-12,65.68,65.68,64.28,64.75,64.75,100481328
2019-06-13,64.83,65.08,64.59,65.0,65.0,89590275
2019-06-14,65.09,65.09,63.66,64.19,64.19,44867476
2019-06-17,64.15,64.99,63.65,64.31,64.31,54377973
2019-06-18,64.32,65.42,64.32,65.23,65.23,117790338
2019-06-19,65.32,66.01,64.72,65.39,65.39,74518991
2019-06-20,65.47,65.91,64.96,65.87,65.87,82497221
2019-06-21,65.76,66.62,65.67,66.55,66.55,64164814
2019-06-24,66.48,66.48,64.89,65.19,65.19,125568462
2019-06-25,65.12,66.37,65.12,66.14,66.14,49321824
2019-06-26,66.04,67.18,66.04,67.0,67.0,99304526
2019-06-27,67.25,67.56,66.17,66.51,66.51,102110474
2019-06-28,66.64,68.11,66.59,67.02,67.02,119060767
2019-07-01,67.1,67.1,65.04,65.95,65.95,72660640
2019-07-02,65.91,66.22,65.3,65.51,65.51,100431106
2019-07-03,65.51,65.51,64.31,64.67,64.67,95413136
2019-07-04,64.86,64.86,62.88,63.8,63.8,62817494
2019-07-05,63.87,63.87,62.65,63.32,63.32,89392593
2019-07-08,63.16,65.76,63.16,65.71,65.71,77315772
2019-07-09,65.89,66.22,65.6,65.93,65.93,126667200
2019-07-10,65.89,67.02,64.72,65.72,65.72,66312238
2019-07-11,65.51,65.51,63.05,63.94,63.94,95650882
2019-07-12,63.9,64.95,63.81,64.31,64.31,92111953
2019-07-15,64.21,65.15,64.21,64.93,64.93,49407154
2019-07-16,64.76,65.41,64.76,65.12,65.12,55511184
2019-07-17,65.04,65.8,65.03,65.38,65.38,47174195
2019-07-18,65.39,67.09,65.39,66.54,66.54,81648749
2019-07-19,66.27,66.27,64.66,65.74,65.74,99759268
2019-07-22,65.77,67.41,65.77,67.23,67.23,85669059
2019-07-23,67.16,67.41,66.82,66.86,66.86,99416670
2019-07-24,66.98,67.27,66.91,67.03,67.03,84667700
2019-07-25,67.08,67.1,65.53,65.73,65.73,40170721
2019-07-26,65.53,65.53,63.54,64.29,64.29,74215633
2019-07-29,64.26,65.59,64.26,65.5,65.5,84692506
2019-07-30,65.71,65.71,65.39,65.44,65.44,105659347
2019-07-31,65.33,66.1,65.33,65.96,65.96,83574222
2019-08-01,66.05,66.68,66.05,66.55,66.55,99741216
2019-08-02,66.63,66.65,65.98,66.16,66.16,88435843
2019-08-05,66.17,66.71,66.17,66.7,66.7,75819164
2019-08-06,66.61,67.14,66.51,66.95,66.95,32872658
2019-08-07,67.06,67.06,65.14,65.34,65.34,79184410
2019-08-08,65.38,66.17,64.83,65.39,65.39,98704168
2019-08-09,65.24,67.77,65.24,66.41,66.41,42543231
2019-08-12,66.28,66.28,65.25,65.59,65.59,47316548
2019-08-13,65.73,66.41,64.96,65.78,65.78,93735908
2019-08-14,65.76,65.76,64.56,64.74,64.74,105428724
2019-08-15,64.55,64.55,63.14,63.54,63.54,39145651
2019-08-16,63.58,64.73,63.39,64.28,64.28,67896592
2019-08-19,64.24,64.99,64.24,64.51,64.51,90098192
2019-08-20,64.42,66.43,64.42,66.06,66.06,59883441
2019-08-21,66.09,66.09,65.09,65.21,65.21,75022936
2019-08-22,65.43,65.97,64.93,65.87,65.87,29462066
2019-08-23,65.9,67.35,65.9,66.44,66.44,105787075
2019-08-26,66.39,66.61,65.51,66.19,66.19,52985596
2019-08-27,66.03,66.69,65.11,66.17,66.17,83943903
2019-08-28,66.12,66.12,63.79,64.56,64.56,57845099
2019-08-29,64.61,65.1,64.07,64.74,64.74,29511944
2019-08-30,64.85,65.96,64.85,65.36,65.36,34915678
2019-09-02,65.48,65.48,64.38,65.04,65.04,66136688
2019-09-03,65.01,65.97,64.8,65.57,65.57,74311288
2019-09-04,65.52,65.52,64.14,64.49,64.49,84755424
2019-09-05,64.52,64.52,62.79,63.0,63.0,61330074
2019-09-06,63.01,63.01,61.42,61.62,61.62,34213797
2019-09-09,61.89,61.89,61.31,61.39,61.39,40112148
2019-09-10,61.45,62.38,61.39,62.04,62.04,54126989
2019-09-11,62.33,62.78,62.33,62.43,62.43,65029079
2019-09-12,62.33,63.57,62.33,63.05,63.05,89344391
2019-09-13,63.11,63.11,61.81,62.01,62.01,63318654
2019-09-16,62.14,63.0,62.14,62.74,62.74,47916267
2019-09-17,62.55,62.55,61.85,61.96,61.96,45086992
2019-09-18,61.94,61.97,61.39,61.82,61.82,77251626
2019-09-19,61.69,61.69,59.68,59.95,59.95,76480288
2019-09-20,59.97,59.97,58.05,59.21,59.21,58663153
2019-09-23,59.26,59.26,57.44,58.08,58.08,55411225
2019-09-24,58.0,58.0,56.35,57.25,57.25,62785556
2019-09-25,57.2,57.46,56.9,56.94,56.94,141510115
2019-09-26,56.9,57.28,56.9,57.09,57.09,48320580
2019-09-27,57.11,57.9,56.7,57.1,57.1,36213723
2019-09-30,57.28,57.28,55.68,56.3,56.3,58555698
2019-10-01,56.51,56.51,55.72,55.78,55.78,78031595
2019-10-02,55.76,56.56,55.61,56.39,56.39,52032707
2019-10-03,56.27,56.27,55.36,55.71,55.71,97913242
2019-10-04,55.77,56.18,55.77,55.91,55.91,38075827
2019-10-07,55.84,56.47,55.81,56.01,56.01,62176065
2019-10-08,55.96,56.7,55.96,56.43,56.43,66470860
2019-10-09,56.37,57.23,56.37,56.66,56.66,75759655
2019-10-10,56.78,56.78,55.56,56.47,56.47,67320120
2019-10-11,56.41,56.87,55.13,56.18,56.18,60817393
2019-10-14,56.11,56.82,55.24,56.12,56.12,48458484
2019-10-15,56.18,56.41,55.54,55.82,55.82,71269654
2019-10-16,55.75,55.75,55.15,55.37,55.37,39930915
2019-10-17,55.36,55.36,54.19,54.43,54.43,38769033
2019-10-18,54.61,54.61,54.12,54.22,54.22,45846247
2019-10-21,54.11,54.44,53.66,54.11,54.11,52422160
2019-10-22,54.13,55.44,54.13,54.65,54.65,71544645
2019-10-23,54.54,55.16,54.54,54.99,54.99,135814987
2019-10-24,55.17,55.46,54.24,55.17,55.17,68986272
2019-10-25,54.99,55.04,54.54,55.02,55.02,73341407
2019-10-28,54.98,55.95,54.98,55.65,55.65,59392880
2019-10-29,55.75,55.75,54.89,55.45,55.45,80966315
2019-10-30,55.39,55.69,55.15,55.52,55.52,58534008
2019-10-31,55.37,55.46,54.51,54.82,54.82,46149305
2019-11-01,54.61,55.0,54.61,54.9,54.9,53429350
2019-11-04,54.96,54.96,54.3,54.36,54.36,56814969
2019-11-05,54.31,55.53,54.31,55.28,55.28,110286643
2019-11-06,55.37,57.18,55.37,56.38,56.38,74388073
2019-11-07,56.37,56.37,54.37,54.85,54.85,113865739
2019-11-08,54.78,54.83,54.28,54.73,54.73,60554194
2019-11-11,54.78,54.78,53.2,53.66,53.66,82784697
2019-11-12,53.55,54.58,53.55,54.29,54.29,75696216
2019-11-13,54.32,55.86,54.32,55.62,55.62,42216238
2019-11-14,55.52,56.9,55.52,56.78,56.78,82742719
2019-11-15,56.74,56.74,56.32,56.45,56.45,56417840
2019-11-18,56.37,56.37,55.82,55.85,55.85,85026594
2019-11-19,55.96,55.96,54.73,55.37,55.37,137931417
2019-11-20,55.53,55.87,55.32,55.41,55.41,55716189
2019-11-21,55.55,55.55,54.6,54.74,54.74,60187901
2019-11-22,54.89,55.4,54.89,55.18,55.18,88334777
2019-11-25,55.25,55.25,54.23,54.73,54.73,79478740
2019-11-26,54.65,55.61,54.65,55.45,55.45,45310498
2019-11-27,55.42,56.41,55.42,56.13,56.13,131097758
2019-11-28,56.14,56.36,55.84,56.0,56.0,42496334
2019-11-29,56.06,56.06,54.55,55.61,55.61,68457002
2019-12-02,55.72,55.72,54.98,55.19,55.19,112330820
2019-12-03,55.21,56.11,55.21,55.84,55.84,57280948
2019-12-04,55.9,57.69,55.9,56.88,56.88,99376892
2019-12-05,57.0,57.0,56.47,56.86,56.86,51052912
2019-12-06,56.88,58.53,56.88,57.97,57.97,65295496
2019-12-09,57.98,57.98,57.92,57.95,57.95,52472089
2019-12-10,57.99,58.76,56.86,57.77,57.77,104421063
2019-12-11,57.76,58.13,57.75,57.94,57.94,81976852
2019-12-12,57.98,57.98,57.17,57.57,57.57,57736417
2019-12-13,57.53,57.53,56.64,56.95,56.95,58992020
2019-12-16,56.89,57.91,56.89,57.8,57.8,104256295
2019-12-17,57.55,59.1,57.55,58.94,58.94,95284923
2019-12-18,58.96,59.17,57.87,58.83,58.83,42063764
2019-12-19,58.67,58.79,58.54,58.74,58.74,71373310
2019-12-20,58.82,58.82,58.31,58.48,58.48,32631605
2019-12-23,58.41,60.8,58.41,60.27,60.27,114863643
2019-12-24,60.35,60.46,59.55,59.96,59.96,127959302
2019-12-25,60.09,60.09,59.11,59.35,59.35,47151377
