Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,1540.0,1540.0,1512.98,1522.64,1522.64,7502257
2019-01-03,1520.99,1523.61,1508.0,1511.47,1511.47,7899838
2019-01-04,1512.84,1512.84,1476.75,1492.77,1492.77,14437627
2019-01-07,1493.15,1540.76,1493.15,1507.65,1507.65,5072781
2019-01-08,1506.05,1506.05,1465.28,1493.35,1493.35,4550154
2019-01-09,1495.81,1531.7,1495.81,1517.86,1517.86,9136129
2019-01-10,1517.31,1557.49,1517.31,1551.74,1551.74,7143022
2019-01-11,1548.49,1581.6,1548.49,1568.89,1568.89,10057689
2019-01-14,1563.37,1633.14,1563.37,1585.44,1585.44,11601318
2019-01-15,1590.0,1682.66,1590.0,1643.81,1643.81,5595432
2019-01-16,1644.22,1667.56,1640.6,1648.87,1648.87,11087777
2019-01-17,1649.15,1677.65,1649.15,1665.16,1665.16,5787558
2019-01-18,1665.01,1665.01,1647.99,1656.51,1656.51,8973878
2019-01-21,1660.54,1660.54,1626.55,1635.29,1635.29,5310693
2019-01-22,1635.76,1649.12,1628.01,1640.77,1640.77,9182921
2019-01-23,1645.85,1645.85,1623.77,1635.21,1635.21,8637705
2019-01-24,1635.69,1705.89,1554.82,1621.42,1621.42,5603077
2019-01-25,1612.75,1649.37,1612.75,1630.18,1630.18,5058769
2019-01-28,1634.31,1640.29,1597.65,1619.05,1619.05,11760462
2019-01-29,1620.08,1620.08,1588.45,1589.78,1589.78,7266594
2019-01-30,1588.17,1644.4,1588.17,1638.41,1638.41,13056684
2019-01-31,1637.57,1637.57,1613.65,1617.99,1617.99,7008546
2019-02-01,1616.99,1644.34,1608.18,1617.7,1617.7,14663475
2019-02-04,1613.68,1613.68,1567.51,1579.97,1579.97,5960366
2019-02-05,1582.74,1647.17,1582.74,1629.61,1629.61,15698834
2019-02-06,1628.16,1628.16,1573.87,1596.53,1596.53,9339349
2019-02-07,1593.76,1600.01,1593.76,1598.15,1598.15,10220613
2019-02-08,1611.89,1629.21,1610.9,1625.06,1625.06,5829189
2019-02-11,1621.31,1637.46,1595.66,1624.02,1624.02,11660113
2019-02-12,1623.73,1656.83,1614.66,1639.52,1639.52,11823145
2019-02-13,1631.97,1658.54,1620.19,1636.95,1636.95,7650063
2019-02-14,1641.05,1673.37,1634.18,1652.76,1652.76,3709472
2019-02-15,1651.82,1671.72,1651.82,1660.07,1660.07,5579819
2019-02-18,1662.78,1662.78,1616.02,1650.98,1650.98,5579480
2019-02-19,1647.87,1647.87,1615.22,1629.32,1629.32,10425231
2019-02-20,1624.05,1640.64,1596.04,1618.89,1618.89,7231705
2019-02-21,1616.48,1673.79,1616.48,1628.91,1628.91,7288108
2019-02-22,1633.29,1633.29,1586.52,1587.84,1587.84,6944590
2019-02-25,1589.67,1589.67,1528.11,1555.89,1555.89,15677146
2019-02-26,1550.86,1550.86,1516.72,1527.58,1527.58,8869590
2019-02-27,1520.19,1602.57,1520.19,1593.41,1593.41,9427057
2019-02-28,1592.38,1636.63,1592.38,1635.06,1635.06,6798704
2019-03-01,1638.63,1638.63,1578.08,1581.89,1581.89,8607487
2019-03-04,1579.49,1579.49,1548.69,1550.4,1550.4,5895634
2019-03-05,1553.74,1553.74,1532.12,1537.34,1537.34,9993928
2019-03-06,1537.73,1537.73,1523.65,1523.71,1523.71,5506154
2019-03-07,1529.05,1529.05,1502.29,1505.79,1505.79,11730306
2019-03-08,1503.75,1513.65,1475.55,1493.96,1493.96,6491586
2019-03-11,1493.78,1493.78,1463.05,1464.33,1464.33,12728518
