Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,58.0,58.76,58.0,58.47,58.47,129076343
2019-01-03,58.41,58.41,57.23,57.35,57.35,28481591
2019-01-04,57.35,58.52,57.35,57.97,57.97,84844141
2019-01-07,57.93,59.36,57.75,58.61,58.61,119812292
2019-01-08,58.63,60.77,58.63,59.91,59.91,85832061
2019-01-09,60.05,60.05,58.38,58.5,58.5,67673993
2019-01-10,58.57,60.24,58.57,59.23,59.23,43915317
2019-01-11,59.15,60.68,59.15,60.66,60.66,53455171
2019-01-14,60.58,60.92,60.27,60.63,60.63,130595817
2019-01-15,60.7,62.13,60.55,61.26,61.26,70653839
2019-01-16,61.24,61.31,61.01,61.16,61.16,55711132
2019-01-17,61.29,61.29,59.81,60.31,60.31,38546173
2019-01-18,60.3,60.3,58.93,59.7,59.7,86369119
2019-01-21,59.54,60.4,58.83,59.57,59.57,51937738
2019-01-22,59.59,59.61,58.76,59.34,59.34,70770703
2019-01-23,59.33,59.66,58.88,59.63,59.63,142951140
2019-01-24,59.66,60.24,59.48,60.12,60.12,98590065
2019-01-25,59.96,60.92,59.96,60.55,60.55,121041593
2019-01-28,60.39,60.55,60.07,60.35,60.35,75926292
2019-01-29,60.53,60.72,59.42,60.15,60.15,95339606
2019-01-30,60.06,62.07,60.06,61.48,61.48,122026791
2019-01-31,61.44,63.42,61.44,63.07,63.07,51454948
2019-02-01,62.83,63.0,62.6,62.7,62.7,70636601
2019-02-04,62.71,62.71,60.42,61.37,61.37,54413395
2019-02-05,61.16,61.74,60.97,61.32,61.32,56192887
2019-02-06,61.3,62.94,61.3,61.83,61.83,67563671
2019-02-07,61.85,61.85,60.52,61.22,61.22,48949896
2019-02-08,61.15,62.72,61.09,61.84,61.84,61815663
2019-02-11,61.91,62.74,61.91,62.56,62.56,94317582
2019-02-12,62.56,64.08,62.56,63.92,63.92,68970574
2019-02-13,63.97,64.99,63.85,64.12,64.12,52560774
2019-02-14,64.09,65.75,64.09,65.6,65.6,98179341
2019-02-15,65.6,65.6,64.44,64.74,64.74,49686561
2019-02-18,65.01,65.6,64.69,65.06,65.06,46084687
2019-02-19,65.03,68.57,65.03,66.67,66.67,115891279
2019-02-20,66.53,66.89,64.34,65.68,65.68,100525796
2019-02-21,65.65,65.65,64.56,64.78,64.78,62565634
2019-02-22,64.9,65.11,63.23,63.94,63.94,153008234
2019-02-25,63.81,63.81,62.2,62.39,62.39,57173045
2019-02-26,62.12,62.93,61.74,61.82,61.82,94169784
2019-02-27,61.51,62.5,61.22,62.28,62.28,38095467
2019-02-28,62.29,62.77,61.43,62.17,62.17,47762034
2019-03-01,62.1,62.53,62.1,62.52,62.52,108188667
2019-03-04,62.64,63.94,62.64,63.51,63.51,126537303
2019-03-05,63.48,63.62,62.34,62.75,62.75,67506243
2019-03-06,62.93,63.93,62.57,63.41,63.41,178418843
2019-03-07,63.21,64.05,63.21,63.8,63.8,121011077
2019-03-08,63.81,66.19,63.81,66.15,66.15,54257614
2019-03-11,66.25,66.25,65.48,65.77,65.77,61620392
2019-03-12,65.78,66.3,64.31,64.83,64.83,41173368
2019-03-13,64.9,64.9,62.0,62.7,62.7,60050588
2019-03-14,62.74,64.89,62.74,64.34,64.34,78882498
2019-03-15,64.17,66.23,64.17,65.44,65.44,72849434
2019-03-18,65.29,65.95,65.01,65.46,65.46,72573243
2019-03-19,65.47,67.28,65.47,66.03,66.03,106826559
2019-03-20,66.3,66.87,66.3,66.58,66.58,76625352
2019-03-21,66.49,67.62,66.49,67.03,67.03,94280891
2019-03-22,67.1,67.11,66.3,66.61,66.61,85707635
2019-03-25,66.61,66.62,66.53,66.6,66.6,80401136
2019-03-26,66.67,66.76,65.21,66.26,66.26,103640290
2019-03-27,66.28,67.25,66.21,66.86,66.86,98799532
2019-03-28,66.75,66.75,65.6,66.02,66.02,45683554
2019-03-29,66.1,66.1,65.55,65.86,65.86,148388781
2019-04-01,65.89,66.97,65.06,66.59,66.59,75222984
2019-04-02,66.81,68.27,66.81,67.21,67.21,49008276
2019-04-03,67.28,68.91,67.28,68.87,68.87,69844568
2019-04-04,68.69,69.88,68.69,69.68,69.68,79567709
2019-04-05,69.78,70.52,69.66,69.98,69.98,90684447
2019-04-08,70.09,70.85,70.09,70.3,70.3,105267488
2019-04-09,70.35,70.35,66.33,67.83,67.83,97461209
2019-04-10,68.02,68.56,67.65,68.31,68.31,149544540
2019-04-11,68.06,68.61,68.06,68.49,68.49,74781227
2019-04-12,68.7,69.14,68.7,68.94,68.94,67268777
2019-04-15,68.97,71.23,68.97,69.8,69.8,39857000
2019-04-16,69.94,69.94,68.78,69.65,69.65,105664459
2019-04-17,69.54,71.48,69.54,70.88,70.88,91477369
2019-04-18,70.63,70.63,69.97,69.97,69.97,57169288
2019-04-19,69.95,71.47,69.95,70.57,70.57,78997703
2019-04-22,70.59,70.67,69.29,70.37,70.37,71392562
2019-04-23,70.18,71.1,69.02,70.38,70.38,76886442
2019-04-24,70.46,73.0,70.28,71.13,71.13,64236728
2019-04-25,71.18,71.18,69.18,69.58,69.58,75000867
2019-04-26,69.79,71.23,69.76,70.86,70.86,39044737
2019-04-29,70.87,70.87,68.87,70.0,70.0,60945129
2019-04-30,70.18,71.2,68.68,69.58,69.58,81082429
2019-05-01,69.59,69.59,68.32,68.82,68.82,54066785
2019-05-02,68.85,69.2,67.43,68.49,68.49,83753995
2019-05-03,68.59,68.64,67.7,68.34,68.34,163752725
2019-05-06,68.37,69.21,67.71,68.74,68.74,45169708
2019-05-07,68.63,70.69,68.63,70.2,70.2,34438728
2019-05-08,70.01,71.19,70.01,70.69,70.69,116121685
2019-05-09,70.56,70.56,69.75,70.2,70.2,165587145
2019-05-10,70.26,70.44,69.66,70.11,70.11,83160314
2019-05-13,70.16,71.35,70.08,70.24,70.24,71864740
2019-05-14,70.42,70.42,67.46,69.05,69.05,55373529
2019-05-15,69.04,69.59,68.88,69.11,69.11,88940190
2019-05-16,69.16,71.23,69.16,71.09,71.09,71243402
2019-05-17,71.21,72.25,71.21,71.96,71.96,100687977
2019-05-20,71.76,74.29,71.76,73.66,73.66,36130767
2019-05-21,73.51,74.46,73.13,73.89,73.89,81703020
2019-05-22,74.05,74.54,73.26,73.26,73.26,51346954
2019-05-23,73.13,73.72,72.75,73.44,73.44,104710503
2019-05-24,73.34,73.37,73.09,73.35,73.35,45343615
2019-05-27,73.45,74.65,73.22,73.92,73.92,92212823
2019-05-28,73.72,73.72,72.92,73.22,73.22,56793587
2019-05-29,73.07,75.54,73.07,74.52,74.52,60241056
2019-05-30,74.51,77.25,74.51,76.44,76.44,100698978
2019-05-31,76.33,76.33,74.87,74.98,74.98,52129450
2019-06-03,74.74,74.74,72.42,73.61,73.61,39326562
2019-06-04,73.6,73.6,71.77,71.83,71.83,73798303
2019-06-05,71.9,72.75,71.52,72.54,72.54,55027454
2019-06-06,72.38,74.64,72.38,73.78,73.78,41432569
2019-06-07,73.75,73.75,71.98,72.27,72.27,82459107
2019-06-10,72.44,74.56,72.44,74.14,74.14,80499992
2019-06-11,74.21,75.92,74.21,75.68,75.68,75114511
2019-06-12,75.53,76.91,73.95,75.21,75.21,87825103
2019-06-13,75.37,75.37,72.91,73.63,73.63,32274196
2019-06-14,73.7,73.7,73.25,73.54,73.54,52828019
2019-06-17,73.49,76.1,73.49,75.2,75.2,80101072
2019-06-18,75.29,77.35,75.29,77.02,77.02,108493947
2019-06-19,76.91,80.01,76.91,78.76,78.76,78904238
2019-06-20,78.76,79.08,78.67,78.78,78.78,114387383
2019-06-21,78.73,78.81,78.45,78.58,78.58,54673159
2019-06-24,78.76,78.76,77.05,77.43,77.43,56061955
2019-06-25,77.27,78.41,75.8,78.4,78.4,61780815
2019-06-26,78.48,82.11,78.48,81.0,81.0,69352330
2019-06-27,80.98,82.63,80.25,80.8,80.8,35242169
2019-06-28,80.68,80.68,78.85,79.88,79.88,71083522
2019-07-01,79.71,80.59,79.06,79.96,79.96,70707723
2019-07-02,80.12,81.17,79.78,79.92,79.92,56097585
