Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,55.0,55.0,53.89,54.19,54.19,62501048
2019-01-03,54.22,54.22,53.28,53.58,53.58,17592709
2019-01-04,53.54,53.68,52.63,53.36,53.36,138572718
2019-01-07,53.34,57.17,53.34,55.69,55.69,88202762
2019-01-08,55.81,55.81,54.74,55.07,55.07,41519498
2019-01-09,54.96,55.45,54.96,55.22,55.22,55652525
2019-01-10,55.17,55.69,54.59,55.49,55.49,76161599
2019-01-11,55.69,56.94,55.38,56.66,56.66,25293212
2019-01-14,56.63,57.98,56.63,57.86,57.86,66806231
2019-01-15,57.84,59.44,57.84,58.59,58.59,68444090
2019-01-16,58.53,58.53,57.14,57.36,57.36,80857797
2019-01-17,57.5,59.45,57.5,59.12,59.12,38963164
2019-01-18,59.2,59.2,56.61,58.75,58.75,63787142
2019-01-21,59.01,59.01,56.62,57.25,57.25,83273197
2019-01-22,57.21,57.21,54.61,54.63,54.63,38741799
2019-01-23,54.69,56.01,54.66,55.42,55.42,73172851
2019-01-24,55.45,55.45,54.51,54.71,54.71,38601273
2019-01-25,54.83,56.32,54.39,55.83,55.83,45619490
2019-01-28,55.66,56.3,55.66,55.73,55.73,28259772
2019-01-29,55.6,55.6,52.88,53.68,53.68,21324695
2019-01-30,53.49,55.27,53.49,54.92,54.92,79114732
2019-01-31,54.96,56.45,54.96,55.94,55.94,87062502
2019-02-01,55.93,57.34,55.93,56.73,56.73,66828007
2019-02-04,56.69,56.82,55.87,56.76,56.76,37293809
2019-02-05,56.78,57.85,56.78,57.8,57.8,77479044
2019-02-06,57.83,57.83,56.87,57.11,57.11,62270444
2019-02-07,57.14,57.14,55.82,56.72,56.72,69476110
2019-02-08,56.79,58.99,55.44,58.47,58.47,66849849
2019-02-11,58.46,58.46,55.57,56.44,56.44,43563596
2019-02-12,56.37,56.63,56.09,56.13,56.13,58899064
2019-02-13,56.12,56.24,54.88,54.91,54.91,48912458
2019-02-14,54.95,55.98,54.7,55.66,55.66,59740916
2019-02-15,55.71,56.54,54.83,56.13,56.13,76682205
2019-02-18,56.05,56.05,54.25,54.29,54.29,44495022
2019-02-19,54.25,54.25,50.62,51.58,51.58,76076450
2019-02-20,51.53,51.53,50.16,50.17,50.17,57869597
2019-02-21,50.2,52.11,50.2,51.16,51.16,53497416
2019-02-22,51.1,51.1,49.42,50.05,50.05,53592596
2019-02-25,50.11,50.62,49.06,49.49,49.49,76283183
2019-02-26,49.44,49.44,48.04,48.6,48.6,52774472
2019-02-27,48.46,48.53,48.01,48.17,48.17,54161134
2019-02-28,48.32,50.17,48.32,49.62,49.62,107797286
2019-03-01,49.56,49.56,48.5,49.35,49.35,79015298
2019-03-04,49.4,50.88,49.4,50.55,50.55,91009509
2019-03-05,50.51,50.61,49.81,50.53,50.53,109166812
2019-03-06,50.5,51.27,49.69,50.53,50.53,62648073
2019-03-07,50.53,50.6,49.69,50.52,50.52,145723555
2019-03-08,50.59,51.95,50.59,51.64,51.64,68822423
2019-03-11,51.51,53.0,50.86,51.8,51.8,33402435
2019-03-12,52.03,53.48,51.81,52.89,52.89,45964247
2019-03-13,52.88,53.13,51.52,52.96,52.96,29803887
2019-03-14,53.05,54.02,53.05,53.19,53.19,90277322
2019-03-15,53.13,55.17,53.13,54.71,54.71,61829299
2019-03-18,54.77,56.44,53.71,54.64,54.64,46491817
2019-03-19,54.61,54.68,54.36,54.6,54.6,60863572
2019-03-20,54.61,55.0,54.31,54.76,54.76,52626333
2019-03-21,54.88,54.88,52.84,53.58,53.58,39974185
2019-03-22,53.4,55.14,52.86,53.81,53.81,136193604
2019-03-25,53.79,53.79,51.85,52.02,52.02,60151205
2019-03-26,51.92,54.74,51.92,54.47,54.47,58652087
2019-03-27,54.58,54.58,54.02,54.33,54.33,54461968
2019-03-28,54.32,55.89,54.32,55.21,55.21,35493146
2019-03-29,55.38,55.38,54.03,54.04,54.04,28262937
2019-04-01,54.28,54.28,52.62,52.64,52.64,93868213
2019-04-02,52.5,53.63,52.5,53.59,53.59,47058592
2019-04-03,53.43,53.83,53.31,53.49,53.49,23244721
2019-04-04,53.36,53.99,53.36,53.99,53.99,31435380
2019-04-05,54.01,54.75,54.01,54.34,54.34,71878069
2019-04-08,54.42,57.88,54.42,57.13,57.13,74744290
2019-04-09,56.76,58.68,56.76,57.21,57.21,47144019
2019-04-10,57.3,57.3,54.68,55.16,55.16,88978668
2019-04-11,55.34,57.79,55.34,56.86,56.86,32353003
2019-04-12,56.9,57.74,56.9,57.45,57.45,107463817
2019-04-15,57.22,62.12,57.22,61.89,61.89,29125789
2019-04-16,61.96,61.96,58.84,59.77,59.77,70209449
2019-04-17,59.71,60.47,59.71,60.13,60.13,62465899
2019-04-18,60.04,60.04,58.52,58.81,58.81,78749195
2019-04-19,58.87,59.93,58.87,59.72,59.72,27975841
2019-04-22,59.86,60.66,59.82,59.91,59.91,50746953
2019-04-23,59.81,59.81,58.79,58.82,58.82,86150572
2019-04-24,58.86,60.3,58.86,59.07,59.07,36643278
2019-04-25,59.28,59.28,56.1,56.69,56.69,100489592
2019-04-26,56.71,59.09,56.71,57.85,57.85,25523817
