Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,108.0,108.0,106.91,107.38,107.38,15990278
2019-01-03,107.42,107.42,103.58,104.19,104.19,20826965
2019-01-04,104.24,106.39,104.24,105.38,105.38,26538838
2019-01-07,104.93,107.88,104.93,107.61,107.61,21996644
2019-01-08,107.51,107.51,102.57,103.76,103.76,9380740
2019-01-09,103.72,103.72,99.26,100.3,100.3,27896316
2019-01-10,100.41,101.88,100.41,101.86,101.86,8988178
2019-01-11,101.75,103.74,101.75,103.43,103.43,25236695
2019-01-14,103.34,104.38,103.07,103.45,103.45,23189196
2019-01-15,103.25,106.87,103.25,105.64,105.64,17274978
2019-01-16,106.14,106.14,104.1,104.91,104.91,23296002
2019-01-17,104.66,107.57,104.66,106.87,106.87,12396059
2019-01-18,106.56,108.88,105.6,106.42,106.42,11353324
2019-01-21,106.56,106.56,103.53,104.1,104.1,24146034
2019-01-22,103.94,103.94,98.96,99.58,99.58,16938889
2019-01-23,99.3,100.55,99.3,100.38,100.38,35179946
2019-01-24,100.34,100.34,97.69,98.25,98.25,16743597
2019-01-25,98.24,100.77,98.24,100.05,100.05,12856841
2019-01-28,100.15,100.15,97.91,98.61,98.61,55682741
2019-01-29,98.66,98.66,94.05,95.62,95.62,10952216
2019-01-30,95.64,96.77,95.64,95.98,95.98,20554342
2019-01-31,96.07,96.1,94.95,96.02,96.02,20207634
2019-02-01,96.19,99.73,96.19,99.26,99.26,25751739
2019-02-04,99.15,99.7,99.0,99.15,99.15,16915984
2019-02-05,99.04,100.78,99.04,100.69,100.69,17350922
2019-02-06,100.85,100.85,99.99,100.65,100.65,18235976
2019-02-07,100.59,102.58,99.33,101.04,101.04,39779964
2019-02-08,100.88,104.88,100.88,104.14,104.14,27365048
2019-02-11,104.0,105.52,102.4,102.62,102.62,13758857
2019-02-12,102.32,103.64,102.32,103.06,103.06,15668864
2019-02-13,103.14,103.29,100.74,102.05,102.05,18367453
2019-02-14,102.43,104.82,100.82,103.8,103.8,13528426
