Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,89.0,89.0,86.14,87.65,87.65,44202861
2019-01-03,87.79,88.17,86.6,87.4,87.4,80728311
2019-01-04,87.17,90.7,87.17,89.96,89.96,51686857
2019-01-07,89.92,92.36,89.92,92.0,92.0,103334180
2019-01-08,91.67,92.42,89.91,90.79,90.79,51410869
2019-01-09,90.78,90.78,88.11,88.35,88.35,32536168
2019-01-10,88.41,91.51,88.41,90.73,90.73,54834922
2019-01-11,90.61,93.66,90.61,93.41,93.41,56163841
2019-01-14,93.5,93.5,92.78,93.07,93.07,38031902
2019-01-15,92.66,93.73,92.33,93.35,93.35,44401466
2019-01-16,93.75,94.73,93.17,93.92,93.92,42576987
2019-01-17,94.16,97.21,94.16,96.73,96.73,93165652
2019-01-18,96.87,99.61,96.87,98.75,98.75,47426548
2019-01-21,98.93,98.93,95.6,96.87,96.87,72690435
2019-01-22,97.0,97.0,89.92,91.07,91.07,75955073
2019-01-23,91.17,91.17,88.53,89.03,89.03,81187510
2019-01-24,89.26,90.65,87.85,89.77,89.77,73378147
2019-01-25,89.68,91.83,87.65,91.15,91.15,63906043
2019-01-28,90.95,91.24,89.35,90.05,90.05,21620651
2019-01-29,89.72,89.72,83.21,85.55,85.55,27527369
2019-01-30,85.6,88.4,85.6,87.41,87.41,39992393
2019-01-31,87.52,88.44,87.07,88.11,88.11,44462851
2019-02-01,88.25,89.35,88.25,88.71,88.71,43171891
2019-02-04,88.49,88.49,87.36,87.66,87.66,59986632
2019-02-05,87.58,87.77,87.02,87.32,87.32,59609520
2019-02-06,87.2,88.54,87.2,87.96,87.96,31069977
2019-02-07,87.99,89.49,87.99,89.31,89.31,79069456
2019-02-08,89.25,92.57,89.19,90.78,90.78,63806797
2019-02-11,90.7,90.7,89.82,90.44,90.44,50225992
2019-02-12,90.51,91.46,89.5,89.77,89.77,56637745
2019-02-13,89.82,89.82,87.4,87.52,87.52,90166598
2019-02-14,87.6,91.14,87.6,90.95,90.95,58721880
2019-02-15,91.0,94.96,91.0,93.01,93.01,70849804
2019-02-18,92.77,94.45,91.18,92.88,92.88,32837900
2019-02-19,92.62,92.62,90.04,91.01,91.01,53783465
2019-02-20,91.15,92.26,90.72,92.16,92.16,46962181
2019-02-21,92.17,94.16,92.17,93.8,93.8,45002599
