Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,1045.0,1052.03,1031.73,1042.1,1042.1,92964178
2019-01-03,1040.99,1046.5,1024.65,1037.77,1037.77,45811898
2019-01-04,1038.09,1038.09,1014.58,1022.57,1022.57,67525852
2019-01-07,1021.42,1044.93,1021.42,1039.48,1039.48,70742344
2019-01-08,1037.51,1037.51,1028.52,1035.49,1035.49,65617563
2019-01-09,1036.5,1036.5,1013.96,1023.8,1023.8,113173002
2019-01-10,1024.17,1032.61,989.73,1030.54,1030.54,93576212
2019-01-11,1030.63,1040.92,1030.63,1033.72,1033.72,38255181
2019-01-14,1033.68,1059.03,1033.68,1049.66,1049.66,125261333
2019-01-15,1047.98,1089.51,1047.98,1071.76,1071.76,22648386
2019-01-16,1069.59,1079.89,1060.59,1074.25,1074.25,160302902
2019-01-17,1073.51,1073.51,1033.17,1057.81,1057.81,60444960
2019-01-18,1056.15,1065.2,1041.69,1045.8,1045.8,62854863
2019-01-21,1045.77,1055.05,1012.6,1034.93,1034.93,66197911
2019-01-22,1034.12,1034.12,1013.54,1019.41,1019.41,79101954
2019-01-23,1019.45,1019.45,988.57,989.52,989.52,67799182
2019-01-24,989.33,991.19,950.69,964.5,964.5,64283136
2019-01-25,967.91,982.66,961.45,975.82,975.82,114459693
2019-01-28,973.11,977.17,964.32,972.23,972.23,85020622
2019-01-29,971.86,971.86,953.4,959.9,959.9,46207118
2019-01-30,957.77,975.49,957.77,970.49,970.49,91188152
2019-01-31,969.55,989.85,966.29,976.43,976.43,83621295
2019-02-01,974.84,974.84,945.26,952.88,952.88,54518817
2019-02-04,954.09,954.09,923.08,930.28,930.28,93084788
2019-02-05,927.54,927.54,907.14,915.43,915.43,63664453
2019-02-06,916.86,918.95,907.13,915.44,915.44,62052824
2019-02-07,916.41,916.41,905.9,910.95,910.95,61380375
2019-02-08,914.69,940.5,914.69,937.67,937.67,25672187
2019-02-11,941.05,943.7,926.72,932.36,932.36,54925388
