Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,196.0,196.0,191.86,193.67,193.67,22696854
2019-01-03,193.33,193.33,186.41,187.46,187.46,49704757
2019-01-04,187.28,187.28,185.42,186.45,186.45,29286392
2019-01-07,186.0,193.37,186.0,191.78,191.78,43701513
2019-01-08,191.82,193.56,191.21,192.91,192.91,25098687
2019-01-09,192.12,193.14,188.9,189.07,189.07,20189577
2019-01-10,189.57,192.4,189.57,191.36,191.36,53396931
2019-01-11,191.19,192.07,189.9,190.96,190.96,25398735
2019-01-14,191.25,191.25,188.19,188.21,188.21,34975056
2019-01-15,188.48,189.65,188.48,189.56,189.56,40823638
2019-01-16,189.1,192.44,188.54,190.73,190.73,34955397
2019-01-17,190.07,195.62,190.07,192.18,192.18,24923887
2019-01-18,191.93,195.24,191.93,194.32,194.32,38525583
2019-01-21,194.47,197.56,191.11,195.06,195.06,39894997
2019-01-22,195.12,195.12,192.44,193.43,193.43,53280187
2019-01-23,193.88,196.93,193.55,195.68,195.68,99982663
2019-01-24,195.83,196.62,193.27,195.61,195.61,17056188
2019-01-25,195.79,203.53,193.6,198.72,198.72,27320367
2019-01-28,198.4,203.0,193.32,198.72,198.72,41108615
2019-01-29,198.62,198.62,191.49,192.04,192.04,56336832
2019-01-30,191.95,198.93,191.95,195.89,195.89,43188545
2019-01-31,196.13,196.13,190.82,194.68,194.68,58923382
2019-02-01,194.97,194.97,189.77,191.65,191.65,20803330
2019-02-04,191.56,191.56,189.64,189.78,189.78,33114618
2019-02-05,189.7,191.79,185.14,187.3,187.3,67469949
2019-02-06,187.43,190.46,187.43,189.82,189.82,26654048
2019-02-07,190.56,191.1,189.91,190.67,190.67,11792063
2019-02-08,190.01,194.32,190.01,191.72,191.72,27121652
2019-02-11,191.36,195.63,191.36,193.07,193.07,44789317
2019-02-12,192.72,197.26,192.72,196.81,196.81,36551374
2019-02-13,196.29,197.87,196.29,197.5,197.5,22490463
2019-02-14,197.19,204.99,197.19,204.46,204.46,28174854
2019-02-15,204.62,204.62,199.54,200.25,200.25,22083008
2019-02-18,200.63,200.63,197.02,199.1,199.1,23146323
2019-02-19,199.19,205.09,199.19,203.53,203.53,26454943
2019-02-20,203.61,205.63,199.11,201.83,201.83,39221848
2019-02-21,201.46,202.48,201.41,201.75,201.75,14466432
2019-02-22,200.67,200.67,197.66,198.03,198.03,64931747
2019-02-25,198.18,198.18,193.0,196.73,196.73,36076299
2019-02-26,197.26,197.26,193.39,194.81,194.81,24152246
2019-02-27,195.18,195.18,193.14,193.14,193.14,25473191
2019-02-28,193.1,193.1,188.01,189.49,189.49,29170165
2019-03-01,189.51,189.51,187.68,187.94,187.94,37695454
2019-03-04,188.47,191.17,187.92,188.44,188.44,39947959
2019-03-05,188.18,188.18,183.48,184.37,184.37,34796146
2019-03-06,184.21,188.24,184.03,185.88,185.88,27795532
2019-03-07,185.21,187.9,184.35,186.71,186.71,37436862
2019-03-08,186.89,190.52,186.89,189.24,189.24,16402694
2019-03-11,189.05,191.17,189.05,190.5,190.5,23124625
2019-03-12,190.39,190.39,185.85,186.19,186.19,28690228
2019-03-13,186.45,186.45,177.52,180.61,180.61,21980368
2019-03-14,180.34,183.77,180.34,183.61,183.61,34451579
2019-03-15,183.79,188.62,183.23,184.8,184.8,22017035
2019-03-18,185.0,193.69,185.0,189.0,189.0,74608470
2019-03-19,188.87,190.43,188.83,189.42,189.42,20988908
2019-03-20,189.74,190.91,187.48,189.04,189.04,68822902
2019-03-21,189.01,189.01,187.99,188.63,188.63,16860082
2019-03-22,188.9,188.9,183.17,183.56,183.56,83854616
2019-03-25,183.33,186.79,183.33,185.17,185.17,47495740
2019-03-26,185.39,185.39,181.17,181.37,181.37,51608010
2019-03-27,181.24,187.2,181.24,186.89,186.89,21778334
2019-03-28,187.01,187.01,182.49,182.54,182.54,33048370
2019-03-29,182.67,182.67,179.5,182.05,182.05,33921995
2019-04-01,181.9,186.75,181.9,184.45,184.45,36115942
2019-04-02,184.3,184.8,183.3,183.62,183.62,62557244
2019-04-03,183.54,186.05,183.54,185.86,185.86,49579039
2019-04-04,185.88,185.88,181.37,181.57,181.57,35189663
2019-04-05,181.78,181.78,179.14,179.58,179.58,56074498
2019-04-08,179.66,180.67,178.14,179.3,179.3,60358286
2019-04-09,178.22,178.94,177.52,178.03,178.03,29959970
2019-04-10,178.33,180.27,176.64,177.58,177.58,29610905
2019-04-11,177.72,178.43,176.82,177.14,177.14,89274780
2019-04-12,177.56,182.89,177.56,182.17,182.17,34161587
2019-04-15,182.48,186.95,182.48,184.81,184.81,29074240
2019-04-16,184.65,186.38,183.89,184.51,184.51,35347860
2019-04-17,184.08,184.08,179.36,183.68,183.68,57790580
2019-04-18,184.34,186.39,184.34,186.1,186.1,50118653
2019-04-19,186.58,189.03,184.44,185.84,185.84,35759211
2019-04-22,186.12,186.12,182.68,185.04,185.04,48022826
2019-04-23,184.75,187.29,184.75,185.82,185.82,41560685
2019-04-24,185.34,185.95,184.72,185.29,185.29,35522079
2019-04-25,185.13,185.13,180.94,182.99,182.99,33349055
2019-04-26,183.3,189.83,183.3,189.41,189.41,39895249
2019-04-29,188.49,191.25,187.6,188.21,188.21,31835410
2019-04-30,187.94,187.94,184.3,184.88,184.88,38678966
2019-05-01,185.87,185.87,180.72,182.73,182.73,36863683
2019-05-02,182.6,183.31,179.7,183.3,183.3,21047805
2019-05-03,183.31,184.38,182.8,183.61,183.61,30426877
2019-05-06,183.6,187.31,183.6,186.06,186.06,33909025
2019-05-07,186.71,197.52,186.71,192.61,192.61,79116931
2019-05-08,192.48,197.92,192.48,195.19,195.19,35269978
2019-05-09,194.49,194.49,192.08,192.64,192.64,41944073
2019-05-10,193.04,195.01,193.04,194.25,194.25,88905142
2019-05-13,193.84,199.41,193.45,196.46,196.46,19992333
2019-05-14,195.88,197.86,195.49,196.82,196.82,20354054
2019-05-15,197.42,197.42,193.59,194.98,194.98,27541961
2019-05-16,195.27,200.33,193.88,196.22,196.22,32911204
2019-05-17,196.08,199.26,196.01,198.62,198.62,34267438
2019-05-20,199.08,199.78,195.54,197.08,197.08,30651802
2019-05-21,197.47,198.31,196.64,197.83,197.83,22955880
2019-05-22,197.56,199.25,197.56,199.14,199.14,55514054
2019-05-23,199.21,203.19,195.16,198.52,198.52,31356797
2019-05-24,198.48,200.0,198.48,199.61,199.61,60387068
2019-05-27,199.34,203.75,193.23,202.26,202.26,25033795
2019-05-28,202.28,204.12,200.61,201.62,201.62,82344928
2019-05-29,201.93,211.34,201.93,204.25,204.25,19312103
2019-05-30,203.87,211.18,203.87,210.49,210.49,37384055
2019-05-31,210.84,210.84,206.74,208.54,208.54,25221373
2019-06-03,207.77,211.9,207.77,209.21,209.21,38140103
2019-06-04,209.3,209.3,204.68,205.47,205.47,25412372
2019-06-05,205.17,205.17,201.99,202.6,202.6,15941106
2019-06-06,203.24,206.36,203.17,203.82,203.82,27515920
2019-06-07,203.17,204.98,199.33,202.67,202.67,71199355
2019-06-10,202.57,207.56,202.57,205.46,205.46,25204733
2019-06-11,205.12,215.63,205.12,212.56,212.56,46081837
2019-06-12,212.31,212.31,210.29,211.13,211.13,37687151
2019-06-13,210.65,213.72,210.65,213.31,213.31,31348620
2019-06-14,213.39,215.39,213.39,214.93,214.93,85147385
2019-06-17,215.02,221.24,215.02,220.5,220.5,33156246
2019-06-18,219.73,223.83,219.73,220.64,220.64,40238166
2019-06-19,220.91,225.67,220.91,225.14,225.14,38912131
2019-06-20,224.42,230.97,224.42,228.81,228.81,70600808
2019-06-21,228.82,228.82,220.38,223.73,223.73,20647712
2019-06-24,224.52,224.52,219.82,220.55,220.55,92269100
2019-06-25,220.17,222.64,218.29,219.87,219.87,69049241
