Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,129.0,129.66,129.0,129.64,129.64,125347488
2019-01-03,129.43,129.67,128.68,128.72,128.72,71140583
2019-01-04,128.46,131.98,128.46,131.84,131.84,77779943
2019-01-07,132.19,133.66,132.19,133.28,133.28,44169067
2019-01-08,133.15,134.69,132.76,133.34,133.34,82131153
2019-01-09,134.01,135.06,131.87,133.29,133.29,89004104
2019-01-10,133.07,136.54,133.07,135.78,135.78,41653785
2019-01-11,135.31,136.4,135.31,135.9,135.9,39204501
2019-01-14,135.64,137.58,135.64,137.09,137.09,140059315
2019-01-15,136.95,136.95,135.19,135.66,135.66,69107740
2019-01-16,135.36,135.41,135.09,135.17,135.17,74565700
2019-01-17,135.19,137.56,135.16,135.95,135.95,107305967
2019-01-18,135.79,138.29,135.79,137.58,137.58,63353111
2019-01-21,137.95,137.95,134.81,135.52,135.52,46913002
2019-01-22,135.42,135.42,129.85,129.99,129.99,53675461
2019-01-23,129.86,136.69,129.86,131.76,131.76,92676782
2019-01-24,131.93,131.93,130.87,131.39,131.39,36063872
2019-01-25,131.37,133.68,131.37,132.19,132.19,64857116
2019-01-28,131.79,135.2,131.79,133.6,133.6,53161316
2019-01-29,133.43,134.85,131.74,133.37,133.37,79634246
2019-01-30,133.05,134.67,133.05,134.3,134.3,87473109
2019-01-31,134.49,134.49,132.11,132.48,132.48,109567335
2019-02-01,133.04,135.6,133.04,134.56,134.56,68215601
2019-02-04,134.51,136.73,134.51,136.65,136.65,84375726
2019-02-05,136.82,136.83,135.48,135.68,135.68,40804367
2019-02-06,135.64,139.5,135.64,138.85,138.85,47548951
2019-02-07,138.85,138.85,137.32,138.2,138.2,108875510
2019-02-08,138.48,139.14,137.07,138.59,138.59,42383521
2019-02-11,138.33,139.21,138.14,138.48,138.48,161800567
2019-02-12,138.25,139.66,138.25,139.29,139.29,53491941
2019-02-13,139.45,139.94,137.86,138.92,138.92,65551544
2019-02-14,138.91,140.88,138.91,140.3,140.3,78248351
2019-02-15,140.39,140.44,135.45,139.69,139.69,44029490
2019-02-18,139.93,142.44,137.98,138.9,138.9,77531707
2019-02-19,138.64,139.85,138.64,139.43,139.43,96626868
2019-02-20,139.15,139.15,135.4,135.96,135.96,51360060
2019-02-21,136.56,136.56,133.58,134.18,134.18,47888377
2019-02-22,134.31,134.31,131.18,132.62,132.62,101845986
2019-02-25,132.94,132.94,130.79,131.31,131.31,43819441
2019-02-26,131.85,134.44,131.85,133.33,133.33,49012133
2019-02-27,133.51,139.25,133.51,134.63,134.63,95929449
2019-02-28,133.89,137.49,133.89,136.86,136.86,86730874
2019-03-01,137.2,137.2,133.96,135.57,135.57,102219823
2019-03-04,135.26,137.27,133.89,135.17,135.17,42905846
2019-03-05,135.36,135.36,131.83,133.66,133.66,43339858
2019-03-06,133.42,136.97,133.42,135.91,135.91,74168203
2019-03-07,135.73,136.41,135.07,135.19,135.19,79767459
2019-03-08,135.41,135.41,133.73,134.5,134.5,69660462
2019-03-11,134.55,135.07,134.08,134.97,134.97,99503459
2019-03-12,134.94,134.94,129.52,131.18,131.18,64598137
2019-03-13,130.78,133.64,130.78,133.38,133.38,67798962
2019-03-14,133.34,133.34,131.79,132.42,132.42,106906326
