Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,100.0,100.05,99.83,99.89,99.89,33325918
2019-01-03,100.15,100.41,97.55,98.41,98.41,60258373
2019-01-04,98.4,100.73,98.4,99.69,99.69,31373673
2019-01-07,100.15,102.33,100.15,101.93,101.93,47298423
2019-01-08,101.51,102.17,101.51,102.12,102.12,51730047
2019-01-09,102.08,102.08,99.14,100.32,100.32,50539085
2019-01-10,100.67,101.54,100.67,101.41,101.41,32709671
2019-01-11,101.34,101.34,99.73,100.14,100.14,25723513
2019-01-14,100.38,100.95,99.7,100.07,100.07,24088890
2019-01-15,99.88,102.1,99.88,101.7,101.7,133621956
2019-01-16,101.56,101.56,100.35,101.08,101.08,48852767
2019-01-17,101.15,103.18,101.15,102.28,102.28,85018907
2019-01-18,102.41,104.13,102.41,103.81,103.81,29177457
2019-01-21,103.85,105.01,103.71,104.36,104.36,67085497
2019-01-22,104.28,104.5,103.54,103.88,103.88,33646742
2019-01-23,103.69,104.17,100.56,103.84,103.84,40248032
2019-01-24,104.33,104.33,103.42,103.73,103.73,36310065
2019-01-25,103.81,105.95,103.81,105.8,105.8,28641768
2019-01-28,106.03,106.03,104.89,105.19,105.19,28816445
2019-01-29,105.4,105.4,101.03,102.39,102.39,40084815
2019-01-30,102.3,105.63,102.3,104.88,104.88,32194917
2019-01-31,104.89,106.73,104.89,106.69,106.69,42833846
2019-02-01,106.53,108.67,104.82,106.42,106.42,29122433
2019-02-04,106.58,106.58,103.86,104.91,104.91,54034615
2019-02-05,104.88,105.36,104.65,105.28,105.28,33874250
2019-02-06,105.63,107.56,105.63,106.39,106.39,78367872
2019-02-07,106.05,106.99,105.43,106.02,106.02,39900567
2019-02-08,106.13,106.97,106.13,106.62,106.62,39086141
2019-02-11,107.16,107.99,106.69,107.46,107.46,77327878
2019-02-12,107.3,111.17,106.27,109.51,109.51,33399088
2019-02-13,109.54,109.54,107.65,108.81,108.81,34600847
2019-02-14,108.74,113.2,108.74,113.06,113.06,30761102
2019-02-15,113.27,113.27,109.35,112.1,112.1,44186264
2019-02-18,111.65,111.8,110.57,111.79,111.79,30343076
2019-02-19,111.52,116.39,111.52,115.38,115.38,55551277
2019-02-20,115.16,115.16,112.55,113.44,113.44,39965200
2019-02-21,113.64,114.74,112.86,113.32,113.32,56951310
2019-02-22,113.28,113.28,109.93,111.2,111.2,54440833
2019-02-25,111.06,111.06,108.07,109.45,109.45,33170052
2019-02-26,109.54,109.54,107.78,108.03,108.03,30321322
2019-02-27,108.08,108.08,106.67,107.48,107.48,35705202
2019-02-28,107.44,107.44,103.19,104.22,104.22,40861478
2019-03-01,104.11,104.62,102.72,103.7,103.7,46537075
2019-03-04,103.51,104.13,102.87,103.91,103.91,48652006
2019-03-05,104.21,104.21,100.63,101.26,101.26,40200110
2019-03-06,101.56,103.17,101.31,102.19,102.19,31005628
2019-03-07,101.92,104.34,99.76,102.47,102.47,32200787
2019-03-08,102.39,105.92,102.39,104.85,104.85,50098045
2019-03-11,104.94,105.56,104.83,105.03,105.03,31392441
2019-03-12,104.84,105.6,104.58,105.33,105.33,50944372
2019-03-13,105.48,106.13,103.17,105.17,105.17,51615639
2019-03-14,105.22,109.77,105.03,106.14,106.14,75204204
2019-03-15,106.31,106.5,105.76,105.9,105.9,33592371
2019-03-18,106.39,108.59,106.39,107.96,107.96,35751023
2019-03-19,107.6,108.31,107.57,108.25,108.25,16144210
2019-03-20,108.57,108.57,105.33,106.44,106.44,27921900
2019-03-21,106.33,106.4,106.22,106.29,106.29,27776460
2019-03-22,106.44,106.44,102.77,103.22,103.22,49844551
2019-03-25,103.33,103.6,101.99,102.09,102.09,83897185
2019-03-26,102.38,102.38,99.72,100.92,100.92,51364316
2019-03-27,100.94,102.91,100.94,101.32,101.32,60518994
2019-03-28,101.17,102.07,97.92,99.56,99.56,30633936
2019-03-29,99.62,99.62,96.85,97.61,97.61,25215292
2019-04-01,97.95,99.49,97.47,98.18,98.18,36959840
2019-04-02,98.26,98.26,97.27,97.39,97.39,31726072
2019-04-03,97.29,99.61,97.29,99.41,99.41,28852721
2019-04-04,99.39,99.84,98.45,98.97,98.97,44431326
2019-04-05,99.03,99.56,98.6,98.67,98.67,25337167
2019-04-08,98.7,98.93,98.02,98.38,98.38,56669309
2019-04-09,98.39,98.39,95.48,95.73,95.73,34704315
2019-04-10,95.93,97.15,95.61,96.49,96.49,39986629
