Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,135.0,137.25,135.0,136.92,136.92,31551309
2019-01-03,136.94,140.35,136.94,139.98,139.98,126749256
2019-01-04,140.45,140.97,139.8,140.14,140.14,55318097
2019-01-07,139.88,142.46,139.88,141.62,141.62,36763689
2019-01-08,141.77,142.49,135.19,139.27,139.27,58724915
2019-01-09,139.07,142.16,139.07,141.23,141.23,79498558
2019-01-10,141.19,148.83,141.19,147.14,147.14,36666386
2019-01-11,146.74,146.74,145.07,146.02,146.02,38833103
2019-01-14,146.42,149.36,146.42,148.82,148.82,56358700
2019-01-15,149.23,151.64,149.23,151.08,151.08,61392822
2019-01-16,151.45,151.75,150.32,150.83,150.83,47120567
2019-01-17,151.12,151.12,147.33,148.17,148.17,59920608
2019-01-18,148.99,148.99,143.91,145.06,145.06,71772708
2019-01-21,145.12,145.12,140.02,142.33,142.33,54675061
2019-01-22,142.81,145.06,140.13,141.3,141.3,38686648
2019-01-23,141.3,142.14,139.26,140.22,140.22,50587768
2019-01-24,140.39,140.39,137.64,137.98,137.98,102984700
2019-01-25,138.21,138.21,136.34,136.64,136.64,58283130
2019-01-28,136.15,137.69,135.44,136.63,136.63,83778707
2019-01-29,136.6,136.83,133.67,134.41,134.41,41527218
2019-01-30,134.35,138.05,134.35,137.32,137.32,56664107
2019-01-31,137.31,137.4,135.81,136.72,136.72,70092137
2019-02-01,136.53,136.53,132.47,133.43,133.43,92868793
2019-02-04,133.48,133.48,128.84,130.84,130.84,83355958
2019-02-05,130.94,132.72,130.08,130.74,130.74,32602131
2019-02-06,130.47,131.33,130.47,131.24,131.24,80868595
2019-02-07,131.25,131.25,130.36,130.41,130.41,100131538
2019-02-08,130.34,134.52,130.34,134.12,134.12,40533419
2019-02-11,134.45,139.62,134.45,138.53,138.53,35669565
2019-02-12,138.69,139.36,138.44,138.99,138.99,50517042
2019-02-13,138.78,143.54,138.78,142.83,142.83,54810604
2019-02-14,143.11,144.77,141.85,144.32,144.32,44347526
2019-02-15,144.31,144.31,141.71,142.59,142.59,31734063
2019-02-18,142.61,142.61,139.42,140.2,140.2,91931801
2019-02-19,139.94,144.83,139.22,140.73,140.73,36165308
2019-02-20,140.79,141.49,140.23,140.71,140.71,41650508
2019-02-21,140.98,140.98,139.74,140.06,140.06,53289258
2019-02-22,139.99,139.99,135.15,137.98,137.98,28306531
2019-02-25,138.41,139.68,137.31,138.44,138.44,27454414
2019-02-26,138.69,141.51,135.8,139.86,139.86,42923107
2019-02-27,139.63,143.38,139.63,142.73,142.73,70975637
2019-02-28,142.81,146.85,142.81,145.03,145.03,54997405
2019-03-01,144.64,144.64,138.04,140.61,140.61,22383547
2019-03-04,140.34,140.34,132.43,134.47,134.47,88932531
2019-03-05,134.0,134.0,131.37,131.64,131.64,70178945
2019-03-06,131.22,131.36,127.63,129.31,129.31,55063669
2019-03-07,129.24,131.6,129.24,130.11,130.11,54476108
2019-03-08,130.06,131.16,129.66,130.96,130.96,66783169
2019-03-11,131.02,132.2,127.54,130.72,130.72,129361672
2019-03-12,130.49,132.86,130.49,132.1,132.1,72551327
2019-03-13,132.32,135.06,132.32,133.96,133.96,57429127
2019-03-14,133.9,134.62,131.54,132.68,132.68,31225785
2019-03-15,132.76,132.76,129.26,130.7,130.7,54483190
2019-03-18,129.86,130.47,128.45,129.54,129.54,69505749
2019-03-19,129.54,130.16,126.44,129.42,129.42,48716167
2019-03-20,129.62,129.62,127.49,127.87,127.87,41387148
2019-03-21,127.29,127.63,126.28,126.61,126.61,63659140
2019-03-22,126.62,129.06,125.05,126.45,126.45,34358916
2019-03-25,126.25,128.12,125.71,126.38,126.38,72187729
2019-03-26,126.77,129.19,126.77,128.31,128.31,42856581
2019-03-27,127.98,130.13,124.98,125.62,125.62,21825944
2019-03-28,126.16,130.89,126.16,129.22,129.22,42528864
2019-03-29,129.56,129.56,125.83,125.99,125.99,49860779
2019-04-01,126.02,126.02,124.39,124.58,124.58,63629814
2019-04-02,124.22,124.58,122.18,123.72,123.72,60758384
2019-04-03,123.61,125.63,123.61,125.01,125.01,30444470
2019-04-04,125.18,126.11,124.39,125.28,125.28,53566411
2019-04-05,125.31,127.9,125.31,126.65,126.65,41201826
2019-04-08,126.37,129.66,126.37,129.4,129.4,44167803
2019-04-09,129.68,129.68,124.97,127.97,127.97,34219366
2019-04-10,127.94,127.94,127.05,127.53,127.53,49984942
2019-04-11,127.61,132.4,127.61,131.92,131.92,178583893
2019-04-12,132.18,134.05,132.18,132.34,132.34,107196278
2019-04-15,132.57,134.36,132.57,134.32,134.32,34212885
2019-04-16,134.61,134.61,128.94,130.29,130.29,52376726
2019-04-17,130.47,131.86,129.42,129.86,129.86,44992254
2019-04-18,129.68,133.93,129.68,133.39,133.39,53995206
2019-04-19,133.38,134.48,132.73,133.69,133.69,73597293
2019-04-22,134.05,136.62,131.36,132.7,132.7,48441438
2019-04-23,132.35,134.64,132.35,134.44,134.44,38366787
2019-04-24,134.14,135.41,132.59,134.08,134.08,81018556
2019-04-25,134.23,136.94,134.23,136.54,136.54,31139331
2019-04-26,136.51,140.66,135.86,137.46,137.46,55026019
2019-04-29,137.0,138.32,136.39,136.51,136.51,28152703
2019-04-30,136.71,140.15,136.71,139.52,139.52,33840399
2019-05-01,139.64,139.64,135.25,137.8,137.8,68717240
2019-05-02,138.53,138.53,134.44,136.42,136.42,38874092
2019-05-03,136.47,137.07,134.32,136.07,136.07,24081885
2019-05-06,136.64,140.48,135.36,136.54,136.54,38206605
2019-05-07,136.81,141.86,136.81,140.76,140.76,36604684
2019-05-08,140.23,145.13,140.23,141.84,141.84,30788409
2019-05-09,141.84,145.44,141.84,143.8,143.8,63568577
2019-05-10,143.78,144.59,140.5,143.3,143.3,27477281
2019-05-13,143.28,143.28,142.63,142.72,142.72,40322499
2019-05-14,142.47,142.47,138.0,138.72,138.72,53809376
2019-05-15,138.94,139.72,136.9,137.09,137.09,44476841
2019-05-16,137.0,140.06,134.37,134.59,134.59,43397783
2019-05-17,134.91,134.91,133.55,134.16,134.16,38206365
2019-05-20,134.44,138.38,134.44,135.97,135.97,31329807
2019-05-21,135.9,136.83,134.89,136.81,136.81,39542667
2019-05-22,136.65,137.77,133.3,136.0,136.0,66360922
2019-05-23,135.85,141.55,135.85,139.38,139.38,42882616
2019-05-24,139.39,139.39,135.48,136.73,136.73,54535559
2019-05-27,136.82,136.82,132.66,134.29,134.29,79752797
2019-05-28,134.17,135.76,133.42,135.32,135.32,64845418
2019-05-29,135.21,138.56,133.36,137.31,137.31,30617528
2019-05-30,137.39,140.79,137.39,140.37,140.37,61024081
2019-05-31,140.66,141.25,137.69,140.3,140.3,77567801
2019-06-03,140.37,141.58,140.37,141.15,141.15,40415157
2019-06-04,141.14,141.14,137.91,138.22,138.22,27054002
2019-06-05,138.28,141.18,138.28,141.05,141.05,42768693
2019-06-06,140.55,144.53,140.55,143.83,143.83,54998553
2019-06-07,143.76,143.76,140.29,141.57,141.57,64653859
2019-06-10,141.21,147.43,140.6,142.17,142.17,41420920
2019-06-11,142.02,143.37,142.02,142.8,142.8,22598628
2019-06-12,142.54,148.09,142.54,145.73,145.73,30615953
2019-06-13,145.46,146.62,145.18,145.89,145.89,58912481
2019-06-14,145.61,145.61,141.31,142.3,142.3,113109285
2019-06-17,142.96,148.18,142.96,146.14,146.14,50567346
2019-06-18,146.13,149.29,146.13,148.27,148.27,86248746
2019-06-19,148.63,153.96,148.63,153.44,153.44,33424946
2019-06-20,153.68,154.66,152.22,153.16,153.16,39370983
2019-06-21,153.37,153.37,148.5,149.27,149.27,20004771
2019-06-24,149.44,151.32,149.44,151.06,151.06,59142132
2019-06-25,151.69,152.72,149.61,151.22,151.22,35681584
2019-06-26,151.35,152.86,151.35,152.47,152.47,64827183
2019-06-27,151.93,154.19,151.89,152.37,152.37,41727407
2019-06-28,152.32,154.89,150.98,153.67,153.67,114526908
2019-07-01,153.35,160.74,153.35,157.81,157.81,104518622
2019-07-02,157.37,160.57,157.37,160.43,160.43,20302343
2019-07-03,160.56,160.56,155.07,158.02,158.02,64622906
2019-07-04,157.37,158.39,154.28,156.69,156.69,37892960
2019-07-05,156.73,156.73,153.16,153.39,153.39,66078222
2019-07-08,152.89,155.58,152.89,154.15,154.15,29802311
2019-07-09,154.09,155.95,152.7,155.07,155.07,90792633
2019-07-10,155.32,157.84,155.32,157.51,157.51,77042831
2019-07-11,157.31,161.21,157.31,160.17,160.17,28979355
2019-07-12,159.79,166.62,159.79,163.89,163.89,47444488
2019-07-15,163.78,165.17,161.21,164.76,164.76,54436943
2019-07-16,164.96,164.96,161.73,163.1,163.1,68020689
2019-07-17,163.2,163.2,159.04,160.32,160.32,50769986
2019-07-18,160.3,163.67,160.3,163.63,163.63,69869797
2019-07-19,163.36,163.36,154.26,155.86,155.86,49589454
2019-07-22,155.73,155.73,151.03,152.47,152.47,65156594
2019-07-23,152.68,154.79,152.54,153.73,153.73,29516178
2019-07-24,153.68,159.52,153.68,158.62,158.62,50485591
2019-07-25,158.7,160.63,157.23,157.3,157.3,80812661
2019-07-26,157.19,159.33,155.36,157.57,157.57,89704373
2019-07-29,157.22,164.54,157.22,161.86,161.86,54669198
2019-07-30,162.51,166.47,162.51,165.51,165.51,49029911
2019-07-31,165.77,174.93,165.77,174.17,174.17,88172782
2019-08-01,174.26,174.7,173.03,174.26,174.26,48994755
2019-08-02,174.2,175.79,171.77,171.95,171.95,80631989
2019-08-05,172.44,178.36,172.44,175.03,175.03,48882882
2019-08-06,174.75,183.79,174.75,182.07,182.07,51835955
2019-08-07,182.31,182.31,178.78,181.92,181.92,32792415
2019-08-08,181.93,188.38,181.93,186.1,186.1,30949956
2019-08-09,186.01,186.37,183.65,184.31,184.31,75439905
2019-08-12,184.2,184.2,176.29,177.94,177.94,101617141
2019-08-13,178.4,185.13,178.4,179.55,179.55,53216559
2019-08-14,178.88,181.42,175.4,177.01,177.01,47732284
2019-08-15,177.6,179.23,176.55,178.42,178.42,76795130
2019-08-16,178.79,184.2,178.79,182.74,182.74,58383341
2019-08-19,182.75,185.45,182.75,184.51,184.51,19545705
2019-08-20,184.42,186.92,184.42,186.44,186.44,75910388
