Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,76.0,76.0,74.97,75.5,75.5,10810566
2019-01-03,75.43,75.43,74.86,74.92,74.92,9217524
2019-01-04,74.64,76.69,74.45,75.53,75.53,9353058
2019-01-07,75.72,76.16,73.86,76.12,76.12,18329341
2019-01-08,76.13,76.47,75.86,76.29,76.29,13061058
2019-01-09,76.24,78.69,76.24,77.89,77.89,7959940
2019-01-10,77.9,80.83,77.9,79.64,79.64,25360811
2019-01-11,79.85,81.03,78.93,79.98,79.98,20765535
2019-01-14,79.76,81.73,79.76,81.22,81.22,14723693
2019-01-15,81.17,82.27,80.89,81.65,81.65,11622066
2019-01-16,81.75,83.18,81.62,81.86,81.86,9872156
2019-01-17,81.85,81.85,79.38,80.21,80.21,16719403
2019-01-18,80.08,82.19,80.08,81.98,81.98,30503192
2019-01-21,81.76,81.76,79.75,80.46,80.46,28600395
2019-01-22,80.43,81.85,78.91,79.75,79.75,8424732
2019-01-23,79.91,80.1,78.74,80.09,80.09,19541072
2019-01-24,80.15,80.15,78.91,79.03,79.03,8593549
2019-01-25,79.17,79.33,78.04,78.66,78.66,20538845
2019-01-28,78.9,79.15,78.77,78.81,78.81,10509116
2019-01-29,78.66,78.91,78.21,78.44,78.44,13811134
2019-01-30,78.47,78.47,77.16,78.15,78.15,8217784
2019-01-31,78.03,81.12,78.03,80.19,80.19,6126471
2019-02-01,80.18,82.28,80.18,81.3,81.3,13339258
2019-02-04,81.44,81.44,80.49,80.66,80.66,11073885
2019-02-05,80.54,80.54,79.52,79.78,79.78,6145013
2019-02-06,79.81,80.56,79.81,80.31,80.31,14699924
2019-02-07,80.08,80.5,80.08,80.31,80.31,8519311
2019-02-08,80.17,80.62,80.06,80.12,80.12,4979389
2019-02-11,80.27,80.38,79.71,79.73,79.73,8398969
2019-02-12,79.78,79.78,77.42,78.02,78.02,23501376
2019-02-13,77.76,78.58,77.28,77.75,77.75,15591430
2019-02-14,77.8,78.72,77.1,78.31,78.31,14175413
2019-02-15,78.22,79.2,78.22,78.62,78.62,15860058
2019-02-18,78.36,79.86,78.36,79.38,79.38,8660765
