Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,101.0,101.0,98.61,99.66,99.66,43371240
2019-01-03,100.1,100.1,98.58,99.12,99.12,49857021
2019-01-04,99.02,99.02,94.01,95.46,95.46,62501705
2019-01-07,95.49,96.74,95.49,96.45,96.45,108833656
2019-01-08,96.58,97.49,95.99,97.44,97.44,52315939
2019-01-09,97.02,98.27,95.64,97.75,97.75,85286465
2019-01-10,97.81,102.72,97.81,102.43,102.43,80248795
2019-01-11,102.26,103.1,102.26,102.82,102.82,134039378
2019-01-14,103.24,103.83,102.39,103.63,103.63,69894209
2019-01-15,103.59,104.57,103.59,104.01,104.01,35224834
2019-01-16,103.87,105.84,103.87,104.73,104.73,92056535
2019-01-17,104.9,104.9,100.35,101.83,101.83,167147524
2019-01-18,101.93,102.43,99.39,101.53,101.53,94500776
2019-01-21,101.71,101.71,99.31,99.71,99.71,51862193
2019-01-22,100.09,100.09,99.68,99.72,99.72,46102923
2019-01-23,99.6,99.6,97.01,97.39,97.39,48543834
2019-01-24,97.72,97.72,95.83,96.64,96.64,158377190
2019-01-25,97.0,99.32,96.48,97.73,97.73,62347510
2019-01-28,97.58,98.71,96.48,98.19,98.19,54521622
2019-01-29,98.06,98.06,94.07,95.98,95.98,66705009
2019-01-30,95.99,95.99,94.58,94.87,94.87,62607926
2019-01-31,94.83,95.46,92.69,95.25,95.25,133048651
2019-02-01,95.58,95.58,89.76,93.12,93.12,47364060
2019-02-04,92.96,92.96,90.14,90.47,90.47,113967350
2019-02-05,90.52,91.26,90.52,90.87,90.87,74626192
2019-02-06,90.73,90.73,89.66,89.75,89.75,115176452
2019-02-07,89.77,89.77,87.8,88.07,88.07,133847666
2019-02-08,88.45,89.03,86.36,87.78,87.78,73521197
2019-02-11,88.1,88.1,85.54,87.35,87.35,62654109
2019-02-12,87.42,89.83,87.42,89.68,89.68,72975681
2019-02-13,89.79,93.11,89.79,91.64,91.64,68425560
2019-02-14,91.73,94.47,91.73,93.54,93.54,36630020
2019-02-15,93.49,93.49,93.04,93.05,93.05,132243757
2019-02-18,93.4,93.4,91.14,91.38,91.38,78411352
2019-02-19,91.62,95.28,91.62,93.15,93.15,44630391
2019-02-20,93.19,93.19,91.09,91.3,91.3,31082513
2019-02-21,91.26,93.37,91.26,92.39,92.39,28011496
2019-02-22,92.36,92.36,89.37,90.71,90.71,96722581
2019-02-25,90.77,92.55,90.77,92.02,92.02,55482279
2019-02-26,92.01,95.02,92.01,93.58,93.58,59245773
2019-02-27,93.79,98.25,93.79,97.02,97.02,86393844
2019-02-28,97.12,98.11,95.32,97.56,97.56,57814259
2019-03-01,97.37,98.28,96.99,97.24,97.24,88434705
2019-03-04,97.01,97.01,93.1,93.97,93.97,73829644
2019-03-05,94.15,94.42,93.98,93.99,93.99,68717430
2019-03-06,93.77,94.51,92.66,94.01,94.01,37884973
2019-03-07,93.94,93.94,91.01,92.26,92.26,51201159
2019-03-08,92.18,92.35,91.67,92.19,92.19,90438391
2019-03-11,91.96,92.25,91.2,91.2,91.2,54100638
2019-03-12,91.25,91.76,91.02,91.07,91.07,115100140
2019-03-13,91.05,93.57,91.01,91.65,91.65,181674249
2019-03-14,91.53,95.77,91.53,93.28,93.28,92407564
2019-03-15,93.67,93.67,88.14,88.71,88.71,129125845
2019-03-18,88.28,90.65,88.28,90.36,90.36,94816705
2019-03-19,90.2,93.7,90.2,93.05,93.05,57394581
2019-03-20,92.94,96.13,92.72,94.57,94.57,76993067
2019-03-21,94.32,94.32,90.69,92.3,92.3,159012544
2019-03-22,92.72,92.72,91.05,91.11,91.11,57640948
2019-03-25,91.52,94.21,91.52,93.8,93.8,46895597
2019-03-26,93.67,94.05,91.2,92.55,92.55,45149398
2019-03-27,92.79,92.79,89.2,89.42,89.42,65146785
2019-03-28,89.53,90.63,89.35,90.0,90.0,47573024
2019-03-29,90.3,90.3,87.93,89.3,89.3,138831711
2019-04-01,89.28,90.47,89.28,90.25,90.25,77493753
2019-04-02,90.33,93.09,89.22,89.8,89.8,104830550
2019-04-03,90.05,90.05,88.95,89.76,89.76,63066426
2019-04-04,89.99,89.99,89.14,89.25,89.25,45041119
2019-04-05,89.28,91.45,89.28,90.45,90.45,42093660
2019-04-08,90.28,93.39,90.28,93.08,93.08,49425081
2019-04-09,92.94,92.94,90.87,91.04,91.04,81668217
2019-04-10,90.7,90.7,86.96,87.56,87.56,87497296
2019-04-11,87.7,90.13,87.7,89.21,89.21,90462296
2019-04-12,89.25,91.39,89.25,90.67,90.67,39180753
2019-04-15,90.72,94.83,90.72,91.49,91.49,71057616
2019-04-16,91.48,91.48,88.44,90.24,90.24,47145095
2019-04-17,90.03,92.15,88.73,91.62,91.62,83449453
