Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,249.0,251.24,249.0,250.3,250.3,3241821
2019-01-03,249.95,257.36,249.95,254.26,254.26,4031828
2019-01-04,254.15,254.71,252.04,252.89,252.89,7503335
2019-01-07,252.6,259.05,252.6,256.8,256.8,11300684
2019-01-08,256.66,258.45,256.66,258.41,258.41,6126098
2019-01-09,258.2,258.2,256.31,256.39,256.39,6663494
2019-01-10,256.54,256.54,253.9,254.67,254.67,10428683
2019-01-11,254.45,260.44,254.45,255.9,255.9,12767087
2019-01-14,255.46,261.11,255.46,260.42,260.42,12122368
2019-01-15,259.97,267.51,258.98,262.42,262.42,11558937
2019-01-16,262.67,262.67,260.09,261.26,261.26,5351658
2019-01-17,260.57,260.57,257.0,257.81,257.81,6040615
2019-01-18,257.6,264.19,257.6,263.12,263.12,7128854
2019-01-21,262.73,262.73,259.6,261.98,261.98,5395382
2019-01-22,262.64,262.64,257.23,258.99,258.99,8084468
2019-01-23,259.82,260.79,256.26,258.86,258.86,6914912
2019-01-24,258.58,260.2,258.58,259.29,259.29,6726285
2019-01-25,258.23,258.23,256.41,256.8,256.8,7979589
2019-01-28,256.07,258.62,256.07,258.08,258.08,5209658
2019-01-29,257.91,258.49,255.57,258.05,258.05,15024160
2019-01-30,257.68,259.85,257.68,257.95,257.95,8703230
2019-01-31,258.12,260.68,258.12,259.84,259.84,11672388
2019-02-01,260.49,260.49,259.23,259.26,259.26,8735693
2019-02-04,259.57,260.7,257.55,258.29,258.29,5464419
2019-02-05,258.11,258.11,255.24,256.4,256.4,13460282
2019-02-06,256.34,265.27,256.34,264.46,264.46,10384146
2019-02-07,265.01,265.01,259.56,262.28,262.28,7815668
2019-02-08,261.49,264.71,261.23,262.89,262.89,7385660
2019-02-11,263.13,263.13,259.71,260.25,260.25,8459673
2019-02-12,259.91,259.91,255.15,255.45,255.45,5890270
2019-02-13,255.7,255.7,252.78,252.93,252.93,9444581
2019-02-14,252.73,256.47,252.73,256.37,256.37,8960222
2019-02-15,256.48,256.48,252.98,253.77,253.77,4900715
2019-02-18,253.4,255.83,253.4,254.36,254.36,7721338
2019-02-19,254.68,259.33,254.68,259.26,259.26,6205851
2019-02-20,259.22,259.88,258.11,259.12,259.12,6985714
2019-02-21,259.53,260.35,258.49,260.11,260.11,7961435
2019-02-22,260.73,260.73,256.71,259.07,259.07,8966093
2019-02-25,259.31,259.31,251.03,254.69,254.69,5849640
2019-02-26,254.26,254.26,246.96,247.79,247.79,6319661
2019-02-27,247.45,250.15,247.45,249.51,249.51,14010521
2019-02-28,249.45,249.64,245.16,246.17,246.17,4945227
2019-03-01,246.93,253.57,246.93,250.78,250.78,5496144
2019-03-04,250.74,250.74,246.48,247.2,247.2,6690559
2019-03-05,247.24,247.24,243.96,246.03,246.03,4906673
2019-03-06,246.67,249.04,245.94,246.24,246.24,6989407
2019-03-07,246.97,246.97,244.7,244.96,244.96,8187558
2019-03-08,245.21,249.63,245.21,248.73,248.73,6840716
2019-03-11,249.2,253.95,249.2,253.09,253.09,3597156
2019-03-12,253.51,253.51,250.94,250.99,250.99,11500146
2019-03-13,250.17,254.24,250.17,251.96,251.96,6660468
2019-03-14,252.01,252.01,248.47,248.69,248.69,6457341
2019-03-15,249.24,251.99,249.24,250.79,250.79,3800640
2019-03-18,250.41,255.05,250.41,253.84,253.84,9881035
2019-03-19,254.21,260.93,254.21,259.58,259.58,10019040
2019-03-20,259.61,263.01,259.61,263.0,263.0,8248863
2019-03-21,263.36,263.36,254.94,257.71,257.71,9846660
2019-03-22,258.24,261.85,258.24,261.12,261.12,6990045
2019-03-25,262.05,262.05,257.15,257.34,257.34,14372153
2019-03-26,257.58,264.52,257.58,263.03,263.03,12137755
2019-03-27,262.95,263.54,259.95,262.56,262.56,7102568
2019-03-28,262.3,265.44,262.3,263.45,263.45,7573891
2019-03-29,262.65,262.65,255.54,256.21,256.21,3734321
2019-04-01,255.86,256.44,253.37,255.13,255.13,6456713
2019-04-02,255.09,257.15,255.07,256.26,256.26,8374672
2019-04-03,256.11,259.07,256.11,258.97,258.97,7965715
2019-04-04,258.75,261.97,257.17,261.21,261.21,4060487
2019-04-05,260.79,263.47,259.5,261.82,261.82,11080694
2019-04-08,262.03,271.43,259.77,264.5,264.5,40387612
2019-04-09,264.91,270.92,264.91,268.17,268.17,3385784
2019-04-10,268.88,272.57,267.58,268.29,268.29,13114694
2019-04-11,267.55,274.3,267.55,273.73,273.73,14017161
2019-04-12,275.54,278.3,275.54,276.82,276.82,8728785
2019-04-15,277.04,282.96,277.04,279.55,279.55,9315685
2019-04-16,280.81,280.81,274.05,274.09,274.09,10384346
2019-04-17,274.15,280.92,274.15,279.69,279.69,13566015
2019-04-18,279.45,282.79,279.45,282.75,282.75,12359452
2019-04-19,282.84,285.47,282.84,283.54,283.54,7411799
2019-04-22,283.46,284.1,280.82,283.32,283.32,5892551
2019-04-23,283.67,286.37,283.67,284.85,284.85,11142816
2019-04-24,285.03,285.03,279.42,281.91,281.91,14278567
2019-04-25,282.02,283.12,279.21,279.68,279.68,13339817
2019-04-26,280.14,288.06,280.14,286.72,286.72,4232206
2019-04-29,286.55,287.63,286.55,287.27,287.27,13269179
2019-04-30,288.05,288.05,283.54,286.55,286.55,9303850
2019-05-01,287.09,287.09,284.67,285.42,285.42,10351800
2019-05-02,285.48,287.58,285.48,287.43,287.43,4541659
2019-05-03,288.35,290.94,287.8,289.88,289.88,8707923
2019-05-06,289.97,289.97,287.12,287.84,287.84,8788248
2019-05-07,286.43,287.73,286.43,287.59,287.59,7801014
2019-05-08,286.72,287.34,281.61,287.02,287.02,10006895
2019-05-09,287.56,293.11,287.56,291.92,291.92,7684049
2019-05-10,291.07,291.07,278.93,288.97,288.97,3772405
2019-05-13,288.76,291.98,288.76,291.71,291.71,6278189
2019-05-14,292.07,292.07,290.69,291.06,291.06,10148616
2019-05-15,291.13,291.13,285.51,285.85,285.85,5374823
2019-05-16,285.81,290.9,285.81,290.52,290.52,6816076
2019-05-17,290.88,292.52,287.04,289.82,289.82,13145205
2019-05-20,290.18,290.18,283.87,286.2,286.2,8145792
2019-05-21,286.35,296.86,286.35,293.53,293.53,10523745
2019-05-22,292.45,295.87,292.45,293.28,293.28,13470220
2019-05-23,293.57,293.57,289.91,291.64,291.64,5293231
