Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,46.0,46.15,45.73,46.02,46.02,62371632
2019-01-03,46.05,46.05,43.54,44.47,44.47,46101964
2019-01-04,44.31,45.71,44.31,45.47,45.47,36729462
2019-01-07,45.59,48.38,45.59,47.21,47.21,74646639
2019-01-08,47.1,48.37,46.78,47.97,47.97,48830796
2019-01-09,47.97,48.08,47.67,47.69,47.69,46858429
2019-01-10,47.61,48.52,47.61,48.35,48.35,60803857
2019-01-11,48.33,48.93,48.33,48.74,48.74,51002589
2019-01-14,48.81,49.63,48.6,49.07,49.07,89497303
2019-01-15,49.1,49.53,49.06,49.31,49.31,76759518
2019-01-16,49.23,49.47,48.34,48.8,48.8,74873838
2019-01-17,48.86,49.16,48.18,48.77,48.77,47491174
2019-01-18,48.95,49.48,48.66,49.41,49.41,74482966
2019-01-21,49.41,49.58,48.11,48.7,48.7,68580325
2019-01-22,48.64,48.68,48.5,48.57,48.57,34472281
2019-01-23,48.66,49.63,48.66,49.3,49.3,50814623
2019-01-24,49.2,49.2,48.25,48.71,48.71,52358947
2019-01-25,48.71,49.85,48.65,49.48,49.48,101986329
2019-01-28,49.43,49.43,48.22,48.47,48.47,47404773
2019-01-29,48.64,48.64,47.19,47.63,47.63,68006915
2019-01-30,47.64,48.14,47.64,48.11,48.11,94351834
2019-01-31,48.05,48.16,47.95,48.12,48.12,38769056
2019-02-01,48.07,48.07,47.67,47.92,47.92,62702835
2019-02-04,47.68,47.68,46.68,46.95,46.95,126422512
2019-02-05,46.92,47.52,46.22,46.85,46.85,29938234
2019-02-06,46.88,47.38,46.82,47.3,47.3,43987847
2019-02-07,47.27,47.52,46.99,47.01,47.01,62540333
2019-02-08,46.91,47.73,46.91,47.37,47.37,64869437
2019-02-11,47.43,47.94,46.94,47.11,47.11,59716480
2019-02-12,47.1,47.64,47.1,47.46,47.46,69750855
2019-02-13,47.64,47.64,46.11,46.33,46.33,92853847
2019-02-14,46.27,48.0,46.27,47.21,47.21,57302411
2019-02-15,47.21,47.97,47.21,47.61,47.61,54431690
2019-02-18,47.58,48.34,47.11,47.9,47.9,71129112
2019-02-19,47.85,48.5,47.6,48.38,48.38,124290540
2019-02-20,48.46,48.46,46.84,47.63,47.63,71281164
2019-02-21,47.63,47.8,46.47,47.23,47.23,84959412
2019-02-22,47.25,47.25,46.14,46.53,46.53,29885318
2019-02-25,46.54,46.54,45.73,46.01,46.01,52185598
2019-02-26,46.09,46.77,46.09,46.48,46.48,34507741
2019-02-27,46.62,47.25,45.37,46.13,46.13,56414982
2019-02-28,46.06,46.06,45.44,45.66,45.66,99228201
2019-03-01,45.65,45.65,44.84,44.85,44.85,33446052
2019-03-04,44.89,45.61,44.31,45.36,45.36,112335706
2019-03-05,45.4,45.4,44.49,44.72,44.72,55968809
2019-03-06,44.8,45.82,44.44,45.2,45.2,80138073
2019-03-07,45.15,45.74,45.15,45.6,45.6,84619602
2019-03-08,45.58,46.61,45.43,46.03,46.03,124568517
2019-03-11,46.12,46.12,45.18,45.26,45.26,70745356
2019-03-12,45.22,45.22,44.0,44.68,44.68,39563246
2019-03-13,44.69,45.08,44.3,44.48,44.48,84068072
2019-03-14,44.4,46.19,44.4,45.36,45.36,19267565
