Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,68.0,68.0,67.57,67.74,67.74,18284607
2019-01-03,67.44,67.44,65.52,65.77,65.77,20664350
2019-01-04,65.72,68.54,65.72,68.28,68.28,9532467
2019-01-07,68.5,70.43,68.5,69.65,69.65,16034409
2019-01-08,69.78,69.78,67.43,68.22,68.22,25298071
2019-01-09,68.14,68.14,65.62,65.95,65.95,20488993
2019-01-10,65.77,67.6,65.77,67.53,67.53,17525388
2019-01-11,67.24,67.83,66.3,67.71,67.71,19516701
2019-01-14,67.68,69.24,67.68,68.6,68.6,22175568
2019-01-15,68.5,70.88,68.5,70.81,70.81,7028986
2019-01-16,70.88,71.72,70.55,70.78,70.78,16702255
2019-01-17,70.92,73.59,70.42,72.55,72.55,15107388
2019-01-18,72.54,72.54,71.79,71.91,71.91,27537384
2019-01-21,71.75,71.75,68.83,69.1,69.1,28273057
2019-01-22,69.14,69.14,64.6,65.41,65.41,22346849
2019-01-23,65.57,66.18,62.97,64.92,64.92,21847765
2019-01-24,64.95,67.83,64.87,65.83,65.83,9335980
2019-01-25,65.82,66.91,65.82,66.44,66.44,14516236
2019-01-28,66.32,69.65,66.32,67.15,67.15,18126650
2019-01-29,67.3,67.3,65.34,65.67,65.67,19986141
2019-01-30,65.71,67.21,65.71,66.74,66.74,20836570
2019-01-31,66.71,67.36,66.71,67.03,67.03,9577863
2019-02-01,66.97,68.94,66.97,68.14,68.14,30839833
2019-02-04,68.15,68.15,67.5,67.73,67.73,13865797
2019-02-05,67.51,69.06,67.51,68.6,68.6,8431697
2019-02-06,68.32,69.52,68.32,69.45,69.45,28564304
2019-02-07,69.35,70.12,68.47,68.76,68.76,14494628
2019-02-08,68.87,70.06,68.37,69.82,69.82,27539346
2019-02-11,69.7,69.7,67.52,67.74,67.74,10394629
2019-02-12,67.73,68.25,66.91,68.07,68.07,17756136
2019-02-13,68.1,70.54,66.63,67.72,67.72,14199049
2019-02-14,67.67,70.79,67.67,70.45,70.45,24432021
2019-02-15,70.12,71.76,69.2,70.95,70.95,14622886
2019-02-18,71.02,71.02,68.73,69.22,69.22,24434273
2019-02-19,69.56,69.62,67.94,68.87,68.87,17627027
2019-02-20,68.7,69.12,66.73,68.83,68.83,16050316
2019-02-21,68.96,69.27,68.47,69.01,69.01,29918664
2019-02-22,68.73,68.73,66.62,67.59,67.59,45613747
2019-02-25,67.74,67.74,66.61,67.39,67.39,18043536
2019-02-26,67.1,68.78,67.1,68.27,68.27,15322797
2019-02-27,68.29,68.29,66.12,66.84,66.84,19751915
2019-02-28,66.84,68.27,66.84,67.49,67.49,21798930
2019-03-01,67.62,68.19,67.51,67.55,67.55,10187242
2019-03-04,67.7,71.39,67.02,69.24,69.24,13916144
2019-03-05,69.2,70.37,68.42,68.8,68.8,11430831
2019-03-06,68.71,69.29,67.66,68.99,68.99,13169045
2019-03-07,68.92,68.92,67.79,67.82,67.82,37325386
2019-03-08,67.78,69.68,67.78,69.44,69.44,8365292
2019-03-11,69.47,70.34,69.15,69.32,69.32,24234789
2019-03-12,69.35,69.35,67.1,68.39,68.39,18004627
2019-03-13,68.31,69.29,68.31,69.23,69.23,23014955
2019-03-14,69.3,69.3,66.9,67.83,67.83,13083566
2019-03-15,67.92,68.83,67.69,68.21,68.21,17369045
2019-03-18,68.54,70.82,68.54,70.28,70.28,34064249
2019-03-19,70.46,72.74,70.46,72.05,72.05,17409262
2019-03-20,72.12,72.77,69.81,71.8,71.8,36698020
2019-03-21,71.77,71.77,70.41,71.37,71.37,7019481
2019-03-22,71.12,73.65,71.12,72.8,72.8,25904065
2019-03-25,72.56,73.24,71.02,72.57,72.57,21231489
2019-03-26,72.68,75.65,71.59,74.76,74.76,11745432
2019-03-27,74.77,76.15,74.77,76.01,76.01,30118654
2019-03-28,75.85,75.85,72.85,75.16,75.16,15475530
2019-03-29,75.13,75.48,72.88,74.0,74.0,22903816
2019-04-01,73.92,74.01,72.22,73.26,73.26,14069407
2019-04-02,73.24,73.24,71.63,72.21,72.21,17025098
2019-04-03,72.07,72.72,71.97,72.57,72.57,27686856
2019-04-04,72.66,74.03,71.22,73.64,73.64,53501474
2019-04-05,73.59,74.74,72.8,74.19,74.19,14579635
2019-04-08,74.33,77.06,74.33,76.64,76.64,34416400
2019-04-09,76.6,79.75,75.62,77.14,77.14,35686094
2019-04-10,77.16,77.16,75.51,75.67,75.67,26946246
2019-04-11,75.65,79.94,75.65,78.02,78.02,28380170
2019-04-12,77.93,79.82,77.93,79.17,79.17,15734558
2019-04-15,78.86,83.88,78.86,83.43,83.43,14167951
